day,step,lead_hours,lead_day,temperature_850hPa_rmse_k,temperature_850hPa_mean_bias_k,metric_variable,metric_level_hpa,reference
1,4,24.0,1.0,0.6988087892532349,-0.047111961990594864,temperature,850,ground_truth
2,8,48.0,2.0,0.9445818066596985,-0.05560724437236786,temperature,850,ground_truth
3,12,72.0,3.0,1.159415364265442,-0.0552552193403244,temperature,850,ground_truth
4,16,96.0,4.0,1.504019021987915,-0.08580213785171509,temperature,850,ground_truth
5,20,120.0,5.0,1.8323755264282227,-0.12208736687898636,temperature,850,ground_truth
6,24,144.0,6.0,2.3496105670928955,-0.09565013647079468,temperature,850,ground_truth
7,28,168.0,7.0,2.81229305267334,-0.09633542597293854,temperature,850,ground_truth
8,32,192.0,8.0,2.8379600048065186,-0.12546519935131073,temperature,850,ground_truth
9,36,216.0,9.0,2.96256160736084,-0.07960502058267593,temperature,850,ground_truth
10,40,240.0,10.0,3.287600040435791,-0.12161289155483246,temperature,850,ground_truth
