day,step,lead_hours,lead_day,temperature_850hPa_rmse_k,temperature_850hPa_mean_bias_k,metric_variable,metric_level_hpa,reference
1,4,24.0,1.0,0.7271401882171631,-0.06515365839004517,temperature,850,ground_truth
2,8,48.0,2.0,0.9331590533256531,-0.05423247441649437,temperature,850,ground_truth
3,12,72.0,3.0,1.123427391052246,-0.05027410760521889,temperature,850,ground_truth
4,16,96.0,4.0,1.4871234893798828,-0.037426527589559555,temperature,850,ground_truth
5,20,120.0,5.0,2.0061967372894287,-0.11685468256473541,temperature,850,ground_truth
6,24,144.0,6.0,2.425302505493164,-0.1180342361330986,temperature,850,ground_truth
7,28,168.0,7.0,2.8117520809173584,-0.1912030279636383,temperature,850,ground_truth
8,32,192.0,8.0,3.2459259033203125,-0.23598676919937134,temperature,850,ground_truth
9,36,216.0,9.0,3.364434242248535,-0.26635879278182983,temperature,850,ground_truth
10,40,240.0,10.0,3.4617702960968018,-0.3245622217655182,temperature,850,ground_truth
