day,step,lead_hours,lead_day,temperature_850hPa_rmse_k,temperature_850hPa_mean_bias_k,metric_variable,metric_level_hpa,reference
1,4,24.0,1.0,0.7192472219467163,-0.051297713071107864,temperature,850,ground_truth
2,8,48.0,2.0,0.8991342782974243,-0.06480658054351807,temperature,850,ground_truth
3,12,72.0,3.0,1.1607111692428589,-0.07894295454025269,temperature,850,ground_truth
4,16,96.0,4.0,1.5146604776382446,-0.1050378680229187,temperature,850,ground_truth
5,20,120.0,5.0,1.7248520851135254,-0.10387042909860611,temperature,850,ground_truth
6,24,144.0,6.0,2.091779947280884,-0.11113283038139343,temperature,850,ground_truth
7,28,168.0,7.0,2.3582215309143066,-0.10743650048971176,temperature,850,ground_truth
8,32,192.0,8.0,2.7565088272094727,-0.11732808500528336,temperature,850,ground_truth
9,36,216.0,9.0,3.12021541595459,-0.21144582331180573,temperature,850,ground_truth
10,40,240.0,10.0,3.15098237991333,-0.25494062900543213,temperature,850,ground_truth
