day,step,lead_hours,lead_day,temperature_850hPa_rmse_k,temperature_850hPa_mean_bias_k,metric_variable,metric_level_hpa,reference
1,4,24.0,1.0,0.7542006373405457,-0.06693785637617111,temperature,850,ground_truth
2,8,48.0,2.0,0.9761823415756226,-0.10967302322387695,temperature,850,ground_truth
3,12,72.0,3.0,1.225563406944275,-0.15326571464538574,temperature,850,ground_truth
4,16,96.0,4.0,1.5173773765563965,-0.11383400112390518,temperature,850,ground_truth
5,20,120.0,5.0,1.8637940883636475,-0.12011635303497314,temperature,850,ground_truth
6,24,144.0,6.0,2.376997470855713,-0.11496663838624954,temperature,850,ground_truth
7,28,168.0,7.0,2.5677649974823,-0.07582751661539078,temperature,850,ground_truth
8,32,192.0,8.0,2.747910737991333,-0.010172604583203793,temperature,850,ground_truth
9,36,216.0,9.0,3.0345284938812256,-0.03204907476902008,temperature,850,ground_truth
10,40,240.0,10.0,3.228256940841675,-0.1142934188246727,temperature,850,ground_truth
