day,step,lead_hours,lead_day,temperature_850hPa_rmse_k,temperature_850hPa_mean_bias_k,metric_variable,metric_level_hpa,reference
1,4,24.0,1.0,0.7105690240859985,-0.014136887155473232,temperature,850,ground_truth
2,8,48.0,2.0,0.9190447926521301,-0.014004210941493511,temperature,850,ground_truth
3,12,72.0,3.0,1.197954535484314,-0.05119527131319046,temperature,850,ground_truth
4,16,96.0,4.0,1.4846935272216797,-0.061941176652908325,temperature,850,ground_truth
5,20,120.0,5.0,1.8011049032211304,-0.10839279741048813,temperature,850,ground_truth
6,24,144.0,6.0,1.965125322341919,-0.16610956192016602,temperature,850,ground_truth
7,28,168.0,7.0,2.2854561805725098,-0.23171782493591309,temperature,850,ground_truth
8,32,192.0,8.0,2.6463770866394043,-0.14626489579677582,temperature,850,ground_truth
9,36,216.0,9.0,2.8433053493499756,-0.20636729896068573,temperature,850,ground_truth
10,40,240.0,10.0,3.0987565517425537,-0.3192513883113861,temperature,850,ground_truth
