day,step,lead_hours,lead_day,temperature_850hPa_rmse_k,temperature_850hPa_mean_bias_k,metric_variable,metric_level_hpa,reference
1,4,24.0,1.0,0.7983035445213318,-0.04886307194828987,temperature,850,ground_truth
2,8,48.0,2.0,0.9861518740653992,-0.05856926366686821,temperature,850,ground_truth
3,12,72.0,3.0,1.1594809293746948,-0.057768598198890686,temperature,850,ground_truth
4,16,96.0,4.0,1.4871339797973633,-0.08100848644971848,temperature,850,ground_truth
5,20,120.0,5.0,1.7501046657562256,-0.09275034070014954,temperature,850,ground_truth
6,24,144.0,6.0,2.0677857398986816,-0.10985502600669861,temperature,850,ground_truth
7,28,168.0,7.0,2.2745463848114014,-0.07745610922574997,temperature,850,ground_truth
8,32,192.0,8.0,2.63014554977417,-0.15658141672611237,temperature,850,ground_truth
9,36,216.0,9.0,2.832961082458496,-0.12766151130199432,temperature,850,ground_truth
10,40,240.0,10.0,2.9945037364959717,-0.07382272183895111,temperature,850,ground_truth
