day,step,lead_hours,lead_day,temperature_850hPa_rmse_k,temperature_850hPa_mean_bias_k,metric_variable,metric_level_hpa,reference
1,4,24.0,1.0,0.7458621263504028,-0.10006938874721527,temperature,850,ground_truth
2,8,48.0,2.0,0.9754639863967896,-0.14793264865875244,temperature,850,ground_truth
3,12,72.0,3.0,1.1480281352996826,-0.15603572130203247,temperature,850,ground_truth
4,16,96.0,4.0,1.4324290752410889,-0.15460166335105896,temperature,850,ground_truth
5,20,120.0,5.0,1.7622750997543335,-0.15034012496471405,temperature,850,ground_truth
6,24,144.0,6.0,2.1669998168945312,-0.14208517968654633,temperature,850,ground_truth
7,28,168.0,7.0,2.4738523960113525,-0.14520901441574097,temperature,850,ground_truth
8,32,192.0,8.0,2.805917739868164,-0.13302065432071686,temperature,850,ground_truth
9,36,216.0,9.0,3.1127514839172363,-0.12943635880947113,temperature,850,ground_truth
10,40,240.0,10.0,3.1700949668884277,-0.13927963376045227,temperature,850,ground_truth
