day,step,lead_hours,lead_day,temperature_850hPa_rmse_k,temperature_850hPa_mean_bias_k,metric_variable,metric_level_hpa,reference
1,4,24.0,1.0,0.7513369917869568,-0.05290023609995842,temperature,850,ground_truth
2,8,48.0,2.0,0.9310579299926758,-0.08360335975885391,temperature,850,ground_truth
3,12,72.0,3.0,1.1414825916290283,-0.05136347562074661,temperature,850,ground_truth
4,16,96.0,4.0,1.3959388732910156,-0.07412338256835938,temperature,850,ground_truth
5,20,120.0,5.0,1.6027995347976685,-0.041112855076789856,temperature,850,ground_truth
6,24,144.0,6.0,2.011800765991211,0.005391876213252544,temperature,850,ground_truth
7,28,168.0,7.0,2.3025734424591064,-0.016978342086076736,temperature,850,ground_truth
8,32,192.0,8.0,2.715536117553711,-0.014800116419792175,temperature,850,ground_truth
9,36,216.0,9.0,3.2156076431274414,-0.10929559171199799,temperature,850,ground_truth
10,40,240.0,10.0,3.464909315109253,-0.1444149762392044,temperature,850,ground_truth
