day,step,lead_hours,lead_day,temperature_850hPa_rmse_k,temperature_850hPa_mean_bias_k,metric_variable,metric_level_hpa,reference
1,4,24.0,1.0,0.7465490698814392,0.02021184377372265,temperature,850,ground_truth
2,8,48.0,2.0,1.0113130807876587,-0.0564347580075264,temperature,850,ground_truth
3,12,72.0,3.0,1.2354259490966797,-0.07501479983329773,temperature,850,ground_truth
4,16,96.0,4.0,1.4498635530471802,-0.08198173344135284,temperature,850,ground_truth
5,20,120.0,5.0,1.7956396341323853,-0.10480181872844696,temperature,850,ground_truth
6,24,144.0,6.0,2.1062309741973877,-0.11385801434516907,temperature,850,ground_truth
7,28,168.0,7.0,2.387901782989502,-0.16473250091075897,temperature,850,ground_truth
8,32,192.0,8.0,2.734473943710327,-0.1577102243900299,temperature,850,ground_truth
9,36,216.0,9.0,3.0078318119049072,-0.28227975964546204,temperature,850,ground_truth
10,40,240.0,10.0,3.410658121109009,-0.3104402720928192,temperature,850,ground_truth
