day,step,lead_hours,lead_day,temperature_850hPa_rmse_k,temperature_850hPa_mean_bias_k,metric_variable,metric_level_hpa,reference
1,4,24.0,1.0,0.6780604720115662,-0.05097794532775879,temperature,850,ground_truth
2,8,48.0,2.0,0.9160300493240356,-0.09851641207933426,temperature,850,ground_truth
3,12,72.0,3.0,1.1410845518112183,-0.07716637849807739,temperature,850,ground_truth
4,16,96.0,4.0,1.5574705600738525,-0.028817646205425262,temperature,850,ground_truth
5,20,120.0,5.0,2.0337722301483154,-0.06555159389972687,temperature,850,ground_truth
6,24,144.0,6.0,2.4251747131347656,-0.042985472828149796,temperature,850,ground_truth
7,28,168.0,7.0,2.827197790145874,-0.058235034346580505,temperature,850,ground_truth
8,32,192.0,8.0,3.1216158866882324,-0.10445021092891693,temperature,850,ground_truth
9,36,216.0,9.0,3.723628044128418,-0.09086890518665314,temperature,850,ground_truth
10,40,240.0,10.0,4.162799835205078,-0.11915985494852066,temperature,850,ground_truth
