day,step,lead_hours,lead_day,temperature_850hPa_rmse_k,temperature_850hPa_mean_bias_k,metric_variable,metric_level_hpa,reference
1,4,24.0,1.0,0.6941495537757874,-0.03955496847629547,temperature,850,ground_truth
2,8,48.0,2.0,0.9263346791267395,-0.0666910856962204,temperature,850,ground_truth
3,12,72.0,3.0,1.1738872528076172,-0.0956345871090889,temperature,850,ground_truth
4,16,96.0,4.0,1.3830974102020264,-0.06574408710002899,temperature,850,ground_truth
5,20,120.0,5.0,1.6417560577392578,-0.08781831711530685,temperature,850,ground_truth
6,24,144.0,6.0,1.9080138206481934,-0.09121029078960419,temperature,850,ground_truth
7,28,168.0,7.0,2.3371400833129883,-0.11729547381401062,temperature,850,ground_truth
8,32,192.0,8.0,2.693419933319092,-0.19062376022338867,temperature,850,ground_truth
9,36,216.0,9.0,2.864981174468994,-0.22482484579086304,temperature,850,ground_truth
10,40,240.0,10.0,3.0982754230499268,-0.2030746340751648,temperature,850,ground_truth
