day,step,lead_hours,lead_day,temperature_850hPa_rmse_k,temperature_850hPa_mean_bias_k,metric_variable,metric_level_hpa,reference
1,4,24.0,1.0,0.6995462775230408,-0.05621328204870224,temperature,850,ground_truth
2,8,48.0,2.0,0.9200062155723572,-0.1012529507279396,temperature,850,ground_truth
3,12,72.0,3.0,1.097633957862854,-0.04159277305006981,temperature,850,ground_truth
4,16,96.0,4.0,1.3386180400848389,-0.07205572724342346,temperature,850,ground_truth
5,20,120.0,5.0,1.6921579837799072,-0.11826755851507187,temperature,850,ground_truth
6,24,144.0,6.0,2.048110246658325,-0.15558579564094543,temperature,850,ground_truth
7,28,168.0,7.0,2.455535650253296,-0.17398804426193237,temperature,850,ground_truth
8,32,192.0,8.0,2.95515775680542,-0.2506597936153412,temperature,850,ground_truth
9,36,216.0,9.0,3.561155080795288,-0.2918252944946289,temperature,850,ground_truth
10,40,240.0,10.0,3.873373031616211,-0.26266998052597046,temperature,850,ground_truth
