day,step,lead_hours,lead_day,temperature_850hPa_rmse_k,temperature_850hPa_mean_bias_k,metric_variable,metric_level_hpa,reference
1,4,24.0,1.0,0.7375237941741943,-0.020494617521762848,temperature,850,ground_truth
2,8,48.0,2.0,0.9556916952133179,-0.011031173169612885,temperature,850,ground_truth
3,12,72.0,3.0,1.1790825128555298,-0.01921522617340088,temperature,850,ground_truth
4,16,96.0,4.0,1.5351251363754272,-0.08373115956783295,temperature,850,ground_truth
5,20,120.0,5.0,2.0864264965057373,-0.07941880077123642,temperature,850,ground_truth
6,24,144.0,6.0,2.5081725120544434,-0.0942406952381134,temperature,850,ground_truth
7,28,168.0,7.0,2.6597869396209717,-0.11972931027412415,temperature,850,ground_truth
8,32,192.0,8.0,3.14922833442688,-0.07231840491294861,temperature,850,ground_truth
9,36,216.0,9.0,3.529862642288208,-0.10921178013086319,temperature,850,ground_truth
10,40,240.0,10.0,3.7223472595214844,-0.13906048238277435,temperature,850,ground_truth
