day,step,lead_hours,lead_day,temperature_850hPa_rmse_k,temperature_850hPa_mean_bias_k,metric_variable,metric_level_hpa,reference
1,4,24.0,1.0,0.75693678855896,-0.05905289575457573,temperature,850,ground_truth
2,8,48.0,2.0,0.9707968235015869,-0.0692545548081398,temperature,850,ground_truth
3,12,72.0,3.0,1.1687933206558228,-0.10542867332696915,temperature,850,ground_truth
4,16,96.0,4.0,1.4272711277008057,-0.11782948672771454,temperature,850,ground_truth
5,20,120.0,5.0,1.8792122602462769,-0.17992237210273743,temperature,850,ground_truth
6,24,144.0,6.0,2.1486077308654785,-0.1610870063304901,temperature,850,ground_truth
7,28,168.0,7.0,2.480736255645752,-0.10595075786113739,temperature,850,ground_truth
8,32,192.0,8.0,2.834139108657837,-0.16812190413475037,temperature,850,ground_truth
9,36,216.0,9.0,2.981973171234131,-0.12424717843532562,temperature,850,ground_truth
10,40,240.0,10.0,3.1015679836273193,-0.08163922280073166,temperature,850,ground_truth
