day,step,lead_hours,lead_day,temperature_850hPa_rmse_k,temperature_850hPa_mean_bias_k,metric_variable,metric_level_hpa,reference
1,4,24.0,1.0,0.7479071617126465,-0.04619751125574112,temperature,850,ground_truth
2,8,48.0,2.0,1.0186221599578857,-0.1270189881324768,temperature,850,ground_truth
3,12,72.0,3.0,1.270450472831726,-0.1971052587032318,temperature,850,ground_truth
4,16,96.0,4.0,1.5373408794403076,-0.22080786526203156,temperature,850,ground_truth
5,20,120.0,5.0,1.9057774543762207,-0.193627268075943,temperature,850,ground_truth
6,24,144.0,6.0,2.4045143127441406,-0.24127301573753357,temperature,850,ground_truth
7,28,168.0,7.0,2.7935163974761963,-0.26698657870292664,temperature,850,ground_truth
8,32,192.0,8.0,3.081988573074341,-0.20055551826953888,temperature,850,ground_truth
9,36,216.0,9.0,3.166168212890625,-0.09545428305864334,temperature,850,ground_truth
10,40,240.0,10.0,3.340864658355713,-0.12473741173744202,temperature,850,ground_truth
