day,step,lead_hours,lead_day,temperature_850hPa_rmse_k,temperature_850hPa_mean_bias_k,metric_variable,metric_level_hpa,reference
1,4,24.0,1.0,0.735011100769043,-0.025607891380786896,temperature,850,ground_truth
2,8,48.0,2.0,0.9791789650917053,-0.006792319007217884,temperature,850,ground_truth
3,12,72.0,3.0,1.2169324159622192,-0.044177792966365814,temperature,850,ground_truth
4,16,96.0,4.0,1.4901776313781738,-0.07079929858446121,temperature,850,ground_truth
5,20,120.0,5.0,1.770249605178833,-0.07896019518375397,temperature,850,ground_truth
6,24,144.0,6.0,2.2137348651885986,-0.05940799415111542,temperature,850,ground_truth
7,28,168.0,7.0,2.4075262546539307,-0.10384736955165863,temperature,850,ground_truth
8,32,192.0,8.0,2.822556734085083,-0.1513873189687729,temperature,850,ground_truth
9,36,216.0,9.0,3.2591044902801514,-0.17987731099128723,temperature,850,ground_truth
10,40,240.0,10.0,3.5601603984832764,-0.28463974595069885,temperature,850,ground_truth
