day,step,lead_hours,lead_day,temperature_850hPa_rmse_k,temperature_850hPa_mean_bias_k,metric_variable,metric_level_hpa,reference
1,4,24.0,1.0,0.7223643064498901,-0.055437181144952774,temperature,850,ground_truth
2,8,48.0,2.0,0.8875572681427002,-0.05788923054933548,temperature,850,ground_truth
3,12,72.0,3.0,1.0799413919448853,-0.07685662806034088,temperature,850,ground_truth
4,16,96.0,4.0,1.2725108861923218,-0.08119882643222809,temperature,850,ground_truth
5,20,120.0,5.0,1.5699471235275269,-0.07568339258432388,temperature,850,ground_truth
6,24,144.0,6.0,2.1230757236480713,-0.13539934158325195,temperature,850,ground_truth
7,28,168.0,7.0,2.554227352142334,-0.1406743824481964,temperature,850,ground_truth
8,32,192.0,8.0,3.1844823360443115,-0.1514720320701599,temperature,850,ground_truth
9,36,216.0,9.0,3.622387647628784,-0.26881879568099976,temperature,850,ground_truth
10,40,240.0,10.0,3.7355504035949707,-0.24387629330158234,temperature,850,ground_truth
