year,init_date,step,lead_hours,lead_day,mse,t2m_pred_gmean_k,t2m_truth_gmean_k,t2m_rmse_k,t2m_mean_bias_k
2023,2023-01-01,0,0.0,0.0,0.30005040764808655,287.08038330078125,287.1098301189897,0.5477685928344727,-0.01827204041182995
2023,2023-01-01,1,6.0,0.25,0.25312066078186035,287.0495910644531,287.0260949954299,0.5031110048294067,0.02273113653063774
2023,2023-01-01,2,12.0,0.5,0.358550488948822,287.37786865234375,287.37227785541137,0.5987908840179443,0.0018878894625231624
2023,2023-01-01,3,18.0,0.75,0.365403413772583,287.32232666015625,287.29974558194385,0.6044860482215881,0.021244676783680916
2023,2023-01-01,4,24.0,1.0,0.4605340361595154,287.0875244140625,287.1051505469379,0.6786265969276428,-0.019695602357387543
2023,2023-01-01,5,30.0,1.25,0.4307924211025238,287.0093078613281,287.0104332960945,0.6563478112220764,-0.0020561101846396923
2023,2023-01-01,6,36.0,1.5,0.5545802116394043,287.34478759765625,287.36417157039574,0.7447014451026917,-0.03134126216173172
2023,2023-01-01,7,42.0,1.75,0.5487728714942932,287.2901916503906,287.2977643716441,0.7407920360565186,-0.015409120358526707
2023,2023-01-01,8,48.0,2.0,0.5565066933631897,287.0604553222656,287.05143485674773,0.7459937334060669,-0.009328448213636875
2023,2023-01-01,9,54.0,2.25,0.5609235763549805,286.98956298828125,286.9833317044445,0.748948335647583,-0.003145052818581462
2023,2023-01-01,10,60.0,2.5,0.6770244240760803,287.326171875,287.34709220502515,0.82281494140625,-0.028116466477513313
2023,2023-01-01,11,66.0,2.75,0.7297056913375854,287.2577819824219,287.25431186254093,0.854228138923645,0.0031587218400090933
2023,2023-01-01,12,72.0,3.0,0.9061795473098755,287.0167236328125,287.0245805082863,0.9519346356391907,-0.030855054035782814
2023,2023-01-01,13,78.0,3.25,0.850581705570221,286.9418029785156,286.935942471868,0.922269880771637,-0.008559802547097206
2023,2023-01-01,14,84.0,3.5,0.9516845941543579,287.28082275390625,287.2823278316818,0.975543200969696,-0.013073191046714783
2023,2023-01-01,15,90.0,3.75,0.9980320930480957,287.216552734375,287.2248717412712,0.9990155696868896,-0.016297118738293648
2023,2023-01-01,16,96.0,4.0,1.1390044689178467,286.99322509765625,286.9982703761335,1.0672415494918823,-0.019188914448022842
2023,2023-01-01,17,102.0,4.25,1.2039158344268799,286.905517578125,286.8945205547044,1.0972310304641724,0.01201558206230402
2023,2023-01-01,18,108.0,4.5,1.41281259059906,287.23004150390625,287.234619925571,1.1886179447174072,0.01729046180844307
2023,2023-01-01,19,114.0,4.75,1.598504662513733,287.1629943847656,287.1745710414782,1.264319896697998,0.02173774503171444
2023,2023-01-01,20,120.0,5.0,1.9641345739364624,286.9339294433594,286.9546200301556,1.4014759063720703,0.006239789072424173
2023,2023-01-01,21,126.0,5.25,2.128514289855957,286.83111572265625,286.8472205612355,1.4589428901672363,0.007366748992353678
2023,2023-01-01,22,132.0,5.5,2.4587879180908203,287.1701354980469,287.2227171405957,1.5680522918701172,-0.023234384134411812
2023,2023-01-01,23,138.0,5.75,2.693826675415039,287.1076354980469,287.1553861662741,1.641288161277771,-0.020852472633123398
2023,2023-01-01,24,144.0,6.0,3.157874345779419,286.8731384277344,286.96378586653583,1.7770408391952515,-0.09016524255275726
2023,2023-01-01,25,150.0,6.25,3.597365140914917,286.781005859375,286.85346676501456,1.8966721296310425,-0.07013435661792755
2023,2023-01-01,26,156.0,6.5,4.436071872711182,287.13616943359375,287.2526700641494,2.10619854927063,-0.10754157602787018
2023,2023-01-01,27,162.0,6.75,5.233068466186523,287.0928955078125,287.177483666665,2.2875900268554688,-0.07544784992933273
2023,2023-01-01,28,168.0,7.0,6.146475791931152,286.8583984375,286.9594702577867,2.4792087078094482,-0.09799519926309586
2023,2023-01-01,29,174.0,7.25,6.750663757324219,286.77264404296875,286.858667219453,2.5982038974761963,-0.061395831406116486
2023,2023-01-01,30,180.0,7.5,7.276198387145996,287.13067626953125,287.21318335029116,2.6974430084228516,-0.04553113877773285
2023,2023-01-01,31,186.0,7.75,7.57655143737793,287.0971984863281,287.15307730114904,2.752553701400757,-0.006660293322056532
2023,2023-01-01,32,192.0,8.0,7.721903324127197,286.8675231933594,286.87915063697113,2.7788312435150146,0.02022518590092659
2023,2023-01-01,33,198.0,8.25,7.814772129058838,286.7951354980469,286.77249091267913,2.7954914569854736,0.06484910100698471
2023,2023-01-01,34,204.0,8.5,8.387165069580078,287.15325927734375,287.1375239503851,2.8960602283477783,0.08374488353729248
2023,2023-01-01,35,210.0,8.75,9.12440299987793,287.0816955566406,287.0742807453883,3.020662784576416,0.0730360895395279
2023,2023-01-01,36,216.0,9.0,9.710602760314941,286.83038330078125,286.8638163683134,3.1161839962005615,0.006005491130053997
2023,2023-01-01,37,222.0,9.25,9.768132209777832,286.74365234375,286.7507476929498,3.125401020050049,0.029996609315276146
2023,2023-01-01,38,228.0,9.5,10.27623176574707,287.0960388183594,287.13449856752794,3.2056562900543213,-0.02127978391945362
2023,2023-01-01,39,234.0,9.75,11.174328804016113,287.0262756347656,287.0651134280287,3.3428025245666504,-0.01546965166926384
2023,2023-01-01,40,240.0,10.0,12.120267868041992,286.7966003417969,286.8221604622119,3.481417417526245,-0.023587500676512718
