year,init_date,step,lead_hours,lead_day,mse,t2m_pred_gmean_k,t2m_truth_gmean_k,t2m_rmse_k,t2m_mean_bias_k
1955,1955-01-01,0,0.0,0.0,0.29671865701675415,285.6675109863281,285.72412416792133,0.544718861579895,-0.0607929602265358
1955,1955-01-01,1,6.0,0.25,0.26649558544158936,285.68310546875,285.6813958108716,0.5162321329116821,-0.0043379333801567554
1955,1955-01-01,2,12.0,0.5,0.4616871476173401,285.9751281738281,286.0163591687854,0.6794756650924683,-0.03946858271956444
1955,1955-01-01,3,18.0,0.75,0.4961830675601959,285.9696044921875,285.9909587169321,0.7044026255607605,-0.006046546157449484
1955,1955-01-01,4,24.0,1.0,0.7001966834068298,285.7309875488281,285.67404136448823,0.8367775678634644,0.06921335309743881
1955,1955-01-01,5,30.0,1.25,0.8184319734573364,285.69268798828125,285.64133143219436,0.9046723246574402,0.0628480464220047
1955,1955-01-01,6,36.0,1.5,1.2386420965194702,285.9793701171875,286.0214885593473,1.1129429340362549,-0.058201517909765244
1955,1955-01-01,7,42.0,1.75,1.3516346216201782,285.9658203125,285.9902319169757,1.1625982522964478,-0.026348408311605453
1955,1955-01-01,8,48.0,2.0,1.764435887336731,285.7388916015625,285.74753006275336,1.3283207416534424,-0.007122571114450693
1955,1955-01-01,9,54.0,2.25,2.0649144649505615,285.7108154296875,285.71825421372296,1.4369810819625854,-0.0021531879901885986
1955,1955-01-01,10,60.0,2.5,2.7026755809783936,286.0115051269531,286.10401363576386,1.6439815759658813,-0.0965009555220604
1955,1955-01-01,11,66.0,2.75,3.0789952278137207,286.0132751464844,286.10010059900776,1.754706621170044,-0.07601623237133026
1955,1955-01-01,12,72.0,3.0,3.508241891860962,285.80133056640625,285.85275631138194,1.873030185699463,-0.02789992466568947
1955,1955-01-01,13,78.0,3.25,3.564030408859253,285.7839050292969,285.8236527396791,1.8878639936447144,-0.017410999163985252
1955,1955-01-01,14,84.0,3.5,3.8184831142425537,286.09527587890625,286.1983598275928,1.9540939331054688,-0.10178419202566147
