day,step,lead_hours,lead_day,temperature_850hPa_rmse_k,temperature_850hPa_mean_bias_k,metric_variable,metric_level_hpa,reference
1,4,24.0,1.0,0.7474715709686279,-0.0468975305557251,temperature,850,ground_truth
2,8,48.0,2.0,0.9108812808990479,-0.06616450846195221,temperature,850,ground_truth
3,12,72.0,3.0,1.1584073305130005,-0.10131915658712387,temperature,850,ground_truth
4,16,96.0,4.0,1.511120319366455,-0.118270143866539,temperature,850,ground_truth
5,20,120.0,5.0,1.801594614982605,-0.11639390885829926,temperature,850,ground_truth
6,24,144.0,6.0,2.2088890075683594,-0.06969474256038666,temperature,850,ground_truth
7,28,168.0,7.0,2.5967447757720947,-0.12173523753881454,temperature,850,ground_truth
8,32,192.0,8.0,2.9548721313476562,-0.13775737583637238,temperature,850,ground_truth
9,36,216.0,9.0,3.298325300216675,-0.18732793629169464,temperature,850,ground_truth
10,40,240.0,10.0,3.7130329608917236,-0.30133485794067383,temperature,850,ground_truth
