day,step,lead_hours,lead_day,temperature_850hPa_rmse_k,temperature_850hPa_mean_bias_k,metric_variable,metric_level_hpa,reference
1,4,24.0,1.0,0.7573742866516113,-0.06548543274402618,temperature,850,ground_truth
2,8,48.0,2.0,0.9452577829360962,-0.05782778933644295,temperature,850,ground_truth
3,12,72.0,3.0,1.1940839290618896,-0.08890992403030396,temperature,850,ground_truth
4,16,96.0,4.0,1.4960823059082031,-0.0827719196677208,temperature,850,ground_truth
5,20,120.0,5.0,1.8536711931228638,-0.11969398707151413,temperature,850,ground_truth
6,24,144.0,6.0,2.2293646335601807,-0.16881294548511505,temperature,850,ground_truth
7,28,168.0,7.0,2.6484251022338867,-0.20867832005023956,temperature,850,ground_truth
8,32,192.0,8.0,3.0948405265808105,-0.27207955718040466,temperature,850,ground_truth
9,36,216.0,9.0,3.4115419387817383,-0.2928418517112732,temperature,850,ground_truth
10,40,240.0,10.0,3.5974268913269043,-0.4081779420375824,temperature,850,ground_truth
