model,scenario,init_time,step,lead_hours,lead_day,global_mean_k,global_mean_anomaly_k,reference_global_mean_k,reference_global_mean_anomaly_k,initial_global_mean_k,metric_id,metric_variable,metric_level_hpa,reference
GraphCast,,2023-08-29T06:00,1,6.0,0.25,283.2348327636719,0.099273681640625,283.26702880859375,0.1314697265625,283.13555908203125,temperature_850hPa,temperature,850,ground_truth
GraphCast,,2023-08-29T06:00,2,12.0,0.5,283.2257080078125,0.09014892578125,283.26837158203125,0.1328125,283.13555908203125,temperature_850hPa,temperature,850,ground_truth
GraphCast,,2023-08-29T06:00,3,18.0,0.75,283.140625,0.00506591796875,283.2232971191406,0.087738037109375,283.13555908203125,temperature_850hPa,temperature,850,ground_truth
GraphCast,,2023-08-29T06:00,4,24.0,1.0,283.0370178222656,-0.098541259765625,283.1026916503906,-0.032867431640625,283.13555908203125,temperature_850hPa,temperature,850,ground_truth
GraphCast,,2023-08-29T06:00,5,30.0,1.25,283.16650390625,0.03094482421875,283.24761962890625,0.112060546875,283.13555908203125,temperature_850hPa,temperature,850,ground_truth
GraphCast,,2023-08-29T06:00,6,36.0,1.5,283.16845703125,0.03289794921875,283.2332763671875,0.09771728515625,283.13555908203125,temperature_850hPa,temperature,850,ground_truth
GraphCast,,2023-08-29T06:00,7,42.0,1.75,283.0935974121094,-0.041961669921875,283.15740966796875,0.0218505859375,283.13555908203125,temperature_850hPa,temperature,850,ground_truth
GraphCast,,2023-08-29T06:00,8,48.0,2.0,283.00360107421875,-0.1319580078125,283.0616149902344,-0.073944091796875,283.13555908203125,temperature_850hPa,temperature,850,ground_truth
GraphCast,,2023-08-29T06:00,9,54.0,2.25,283.1325378417969,-0.003021240234375,283.2439880371094,0.108428955078125,283.13555908203125,temperature_850hPa,temperature,850,ground_truth
GraphCast,,2023-08-29T06:00,10,60.0,2.5,283.11981201171875,-0.0157470703125,283.20819091796875,0.0726318359375,283.13555908203125,temperature_850hPa,temperature,850,ground_truth
GraphCast,,2023-08-29T06:00,11,66.0,2.75,283.0302429199219,-0.105316162109375,283.1343078613281,-0.001251220703125,283.13555908203125,temperature_850hPa,temperature,850,ground_truth
GraphCast,,2023-08-29T06:00,12,72.0,3.0,282.9443359375,-0.19122314453125,283.0330810546875,-0.10247802734375,283.13555908203125,temperature_850hPa,temperature,850,ground_truth
GraphCast,,2023-08-29T06:00,13,78.0,3.25,283.069580078125,-0.06597900390625,283.1731262207031,0.037567138671875,283.13555908203125,temperature_850hPa,temperature,850,ground_truth
GraphCast,,2023-08-29T06:00,14,84.0,3.5,283.0550231933594,-0.080535888671875,283.1424560546875,0.00689697265625,283.13555908203125,temperature_850hPa,temperature,850,ground_truth
GraphCast,,2023-08-29T06:00,15,90.0,3.75,282.98297119140625,-0.152587890625,283.0778503417969,-0.057708740234375,283.13555908203125,temperature_850hPa,temperature,850,ground_truth
GraphCast,,2023-08-29T06:00,16,96.0,4.0,282.9092102050781,-0.226348876953125,282.99212646484375,-0.1434326171875,283.13555908203125,temperature_850hPa,temperature,850,ground_truth
GraphCast,,2023-08-29T06:00,17,102.0,4.25,282.9993591308594,-0.136199951171875,283.091552734375,-0.04400634765625,283.13555908203125,temperature_850hPa,temperature,850,ground_truth
GraphCast,,2023-08-29T06:00,18,108.0,4.5,282.9540100097656,-0.181549072265625,283.0569763183594,-0.078582763671875,283.13555908203125,temperature_850hPa,temperature,850,ground_truth
GraphCast,,2023-08-29T06:00,19,114.0,4.75,282.8649597167969,-0.270599365234375,283.0058288574219,-0.129730224609375,283.13555908203125,temperature_850hPa,temperature,850,ground_truth
GraphCast,,2023-08-29T06:00,20,120.0,5.0,282.8072204589844,-0.328338623046875,282.9267272949219,-0.208831787109375,283.13555908203125,temperature_850hPa,temperature,850,ground_truth
GraphCast,,2023-08-29T06:00,21,126.0,5.25,282.9130554199219,-0.222503662109375,283.0564270019531,-0.079132080078125,283.13555908203125,temperature_850hPa,temperature,850,ground_truth
GraphCast,,2023-08-29T06:00,22,132.0,5.5,282.87615966796875,-0.2593994140625,282.9989929199219,-0.136566162109375,283.13555908203125,temperature_850hPa,temperature,850,ground_truth
GraphCast,,2023-08-29T06:00,23,138.0,5.75,282.78228759765625,-0.353271484375,282.9696044921875,-0.16595458984375,283.13555908203125,temperature_850hPa,temperature,850,ground_truth
GraphCast,,2023-08-29T06:00,24,144.0,6.0,282.717529296875,-0.41802978515625,282.8863220214844,-0.249237060546875,283.13555908203125,temperature_850hPa,temperature,850,ground_truth
