day,step,lead_hours,lead_day,temperature_850hPa_rmse_k,temperature_850hPa_mean_bias_k,metric_variable,metric_level_hpa,reference
1,4,24.0,1.0,0.7403639554977417,-0.023800253868103027,temperature,850,ground_truth
2,8,48.0,2.0,0.9469316005706787,-0.03101947531104088,temperature,850,ground_truth
3,12,72.0,3.0,1.1647436618804932,-0.10069651156663895,temperature,850,ground_truth
4,16,96.0,4.0,1.592186450958252,-0.08657031506299973,temperature,850,ground_truth
5,20,120.0,5.0,1.9240440130233765,-0.12067016214132309,temperature,850,ground_truth
6,24,144.0,6.0,2.237905979156494,-0.18999631702899933,temperature,850,ground_truth
7,28,168.0,7.0,2.826481342315674,-0.14356353878974915,temperature,850,ground_truth
8,32,192.0,8.0,3.3033483028411865,-0.15553200244903564,temperature,850,ground_truth
9,36,216.0,9.0,3.354099750518799,-0.1684611439704895,temperature,850,ground_truth
10,40,240.0,10.0,3.6731605529785156,-0.2953782379627228,temperature,850,ground_truth
