day,step,lead_hours,lead_day,temperature_850hPa_rmse_k,temperature_850hPa_mean_bias_k,metric_variable,metric_level_hpa,reference
1,4,24.0,1.0,0.7486395239830017,-0.013063838705420494,temperature,850,ground_truth
2,8,48.0,2.0,0.9314051270484924,-0.0259177815169096,temperature,850,ground_truth
3,12,72.0,3.0,1.188177227973938,-0.06452233344316483,temperature,850,ground_truth
4,16,96.0,4.0,1.5186281204223633,-0.07638230919837952,temperature,850,ground_truth
5,20,120.0,5.0,2.0394649505615234,-0.1388544738292694,temperature,850,ground_truth
6,24,144.0,6.0,2.575624465942383,-0.22677794098854065,temperature,850,ground_truth
7,28,168.0,7.0,3.10978627204895,-0.25775209069252014,temperature,850,ground_truth
8,32,192.0,8.0,3.3774831295013428,-0.2412477284669876,temperature,850,ground_truth
9,36,216.0,9.0,3.5540249347686768,-0.27706316113471985,temperature,850,ground_truth
10,40,240.0,10.0,3.7680470943450928,-0.3224201202392578,temperature,850,ground_truth
