day,step,lead_hours,lead_day,temperature_850hPa_rmse_k,temperature_850hPa_mean_bias_k,metric_variable,metric_level_hpa,reference
1,4,24.0,1.0,0.7621085047721863,-0.059225600212812424,temperature,850,ground_truth
2,8,48.0,2.0,0.9765385985374451,-0.059461381286382675,temperature,850,ground_truth
3,12,72.0,3.0,1.1531695127487183,-0.10134685039520264,temperature,850,ground_truth
4,16,96.0,4.0,1.3610903024673462,-0.11314242333173752,temperature,850,ground_truth
5,20,120.0,5.0,1.6704210042953491,-0.10817147046327591,temperature,850,ground_truth
6,24,144.0,6.0,2.016735076904297,-0.1340731531381607,temperature,850,ground_truth
7,28,168.0,7.0,2.271331787109375,-0.1422564536333084,temperature,850,ground_truth
8,32,192.0,8.0,2.6551620960235596,-0.1756102591753006,temperature,850,ground_truth
9,36,216.0,9.0,3.0086781978607178,-0.10786949098110199,temperature,850,ground_truth
10,40,240.0,10.0,3.321751356124878,-0.11670109629631042,temperature,850,ground_truth
