day,step,lead_hours,lead_day,temperature_850hPa_rmse_k,temperature_850hPa_mean_bias_k,metric_variable,metric_level_hpa,reference
1,4,24.0,1.0,0.6984437704086304,-0.04066639766097069,temperature,850,ground_truth
2,8,48.0,2.0,0.9443756341934204,-0.07134536653757095,temperature,850,ground_truth
3,12,72.0,3.0,1.1343854665756226,-0.0668921023607254,temperature,850,ground_truth
4,16,96.0,4.0,1.4945931434631348,-0.1215348094701767,temperature,850,ground_truth
5,20,120.0,5.0,1.8059766292572021,-0.15763922035694122,temperature,850,ground_truth
6,24,144.0,6.0,2.150895595550537,-0.16350190341472626,temperature,850,ground_truth
7,28,168.0,7.0,2.552988290786743,-0.17367157340049744,temperature,850,ground_truth
8,32,192.0,8.0,2.8210318088531494,-0.1252899169921875,temperature,850,ground_truth
9,36,216.0,9.0,3.124117136001587,-0.048893194645643234,temperature,850,ground_truth
10,40,240.0,10.0,3.3876943588256836,-0.08443020284175873,temperature,850,ground_truth
