day,step,lead_hours,lead_day,temperature_850hPa_rmse_k,temperature_850hPa_mean_bias_k,metric_variable,metric_level_hpa,reference
1,4,24.0,1.0,0.7187600135803223,-0.009436632506549358,temperature,850,ground_truth
2,8,48.0,2.0,0.9488887190818787,-0.02317049913108349,temperature,850,ground_truth
3,12,72.0,3.0,1.162807583808899,-0.03435194492340088,temperature,850,ground_truth
4,16,96.0,4.0,1.4594351053237915,-0.0406632199883461,temperature,850,ground_truth
5,20,120.0,5.0,1.808355450630188,-0.08288754522800446,temperature,850,ground_truth
6,24,144.0,6.0,2.140498161315918,-0.15374605357646942,temperature,850,ground_truth
7,28,168.0,7.0,2.4614481925964355,-0.24597282707691193,temperature,850,ground_truth
8,32,192.0,8.0,3.053901433944702,-0.2761281728744507,temperature,850,ground_truth
9,36,216.0,9.0,3.5427842140197754,-0.23773415386676788,temperature,850,ground_truth
10,40,240.0,10.0,3.586270809173584,-0.2198668122291565,temperature,850,ground_truth
