day,step,lead_hours,lead_day,temperature_850hPa_rmse_k,temperature_850hPa_mean_bias_k,metric_variable,metric_level_hpa,reference
1,4,24.0,1.0,0.7272689938545227,-0.06450940668582916,temperature,850,ground_truth
2,8,48.0,2.0,0.9096518754959106,-0.06795404851436615,temperature,850,ground_truth
3,12,72.0,3.0,1.131865382194519,-0.08555762469768524,temperature,850,ground_truth
4,16,96.0,4.0,1.4910809993743896,-0.09509778022766113,temperature,850,ground_truth
5,20,120.0,5.0,1.7408580780029297,-0.08424260467290878,temperature,850,ground_truth
6,24,144.0,6.0,2.0997791290283203,-0.11235519498586655,temperature,850,ground_truth
7,28,168.0,7.0,2.3938963413238525,-0.06781225651502609,temperature,850,ground_truth
8,32,192.0,8.0,2.7494070529937744,-0.03134223446249962,temperature,850,ground_truth
9,36,216.0,9.0,2.8953118324279785,-0.10104311257600784,temperature,850,ground_truth
10,40,240.0,10.0,3.213963508605957,-0.15180793404579163,temperature,850,ground_truth
