day,step,lead_hours,lead_day,temperature_850hPa_rmse_k,temperature_850hPa_mean_bias_k,metric_variable,metric_level_hpa,reference
1,4,24.0,1.0,0.7538506388664246,-0.04423483833670616,temperature,850,ground_truth
2,8,48.0,2.0,0.9254539608955383,-0.05401865765452385,temperature,850,ground_truth
3,12,72.0,3.0,1.2093391418457031,-0.06921393424272537,temperature,850,ground_truth
4,16,96.0,4.0,1.5114555358886719,-0.05739009752869606,temperature,850,ground_truth
5,20,120.0,5.0,1.8183659315109253,-0.03939954563975334,temperature,850,ground_truth
6,24,144.0,6.0,2.1834158897399902,-0.037651725113391876,temperature,850,ground_truth
7,28,168.0,7.0,2.5332889556884766,-0.05989016219973564,temperature,850,ground_truth
8,32,192.0,8.0,2.9086432456970215,-0.08947521448135376,temperature,850,ground_truth
9,36,216.0,9.0,3.0052764415740967,-0.0739787295460701,temperature,850,ground_truth
10,40,240.0,10.0,3.2844643592834473,-0.09799616783857346,temperature,850,ground_truth
