day,step,lead_hours,lead_day,temperature_850hPa_rmse_k,temperature_850hPa_mean_bias_k,metric_variable,metric_level_hpa,reference
1,4,24.0,1.0,0.7560914158821106,-0.1113964393734932,temperature,850,ground_truth
2,8,48.0,2.0,0.98948073387146,-0.12119261920452118,temperature,850,ground_truth
3,12,72.0,3.0,1.1832780838012695,-0.188364639878273,temperature,850,ground_truth
4,16,96.0,4.0,1.536354422569275,-0.18711994588375092,temperature,850,ground_truth
5,20,120.0,5.0,1.8573437929153442,-0.19171278178691864,temperature,850,ground_truth
6,24,144.0,6.0,2.2289388179779053,-0.1883442997932434,temperature,850,ground_truth
7,28,168.0,7.0,2.6163110733032227,-0.17221254110336304,temperature,850,ground_truth
8,32,192.0,8.0,2.948044538497925,-0.13243651390075684,temperature,850,ground_truth
9,36,216.0,9.0,3.3365871906280518,-0.043524980545043945,temperature,850,ground_truth
10,40,240.0,10.0,3.4628262519836426,-0.027270836755633354,temperature,850,ground_truth
