day,step,lead_hours,lead_day,temperature_850hPa_rmse_k,temperature_850hPa_mean_bias_k,metric_variable,metric_level_hpa,reference
1,4,24.0,1.0,0.7443689703941345,-0.08130019158124924,temperature,850,ground_truth
2,8,48.0,2.0,0.9548793435096741,-0.06198321282863617,temperature,850,ground_truth
3,12,72.0,3.0,1.1740063428878784,-0.06503724306821823,temperature,850,ground_truth
4,16,96.0,4.0,1.3718504905700684,-0.027443289756774902,temperature,850,ground_truth
5,20,120.0,5.0,1.7655394077301025,-0.027880575507879257,temperature,850,ground_truth
6,24,144.0,6.0,2.109163999557495,-0.010176061652600765,temperature,850,ground_truth
7,28,168.0,7.0,2.5323054790496826,0.006614237558096647,temperature,850,ground_truth
8,32,192.0,8.0,2.82924747467041,-0.07679516822099686,temperature,850,ground_truth
9,36,216.0,9.0,3.1196024417877197,-0.11385330557823181,temperature,850,ground_truth
10,40,240.0,10.0,3.7221455574035645,-0.13030417263507843,temperature,850,ground_truth
