model,scenario,init_time,step,lead_hours,lead_day,global_mean_k,global_mean_anomaly_k,reference_global_mean_k,reference_global_mean_anomaly_k,initial_global_mean_k,metric_id,metric_variable,metric_level_hpa,reference
GraphCast,,2023-01-23T06:00,1,6.0,0.25,279.77545166015625,0.067779541015625,279.81658935546875,0.108917236328125,279.7076721191406,temperature_850hPa,temperature,850,ground_truth
GraphCast,,2023-01-23T06:00,2,12.0,0.5,279.7590637207031,0.0513916015625,279.81689453125,0.109222412109375,279.7076721191406,temperature_850hPa,temperature,850,ground_truth
GraphCast,,2023-01-23T06:00,3,18.0,0.75,279.71624755859375,0.008575439453125,279.77569580078125,0.068023681640625,279.7076721191406,temperature_850hPa,temperature,850,ground_truth
GraphCast,,2023-01-23T06:00,4,24.0,1.0,279.6781311035156,-0.029541015625,279.7408142089844,0.03314208984375,279.7076721191406,temperature_850hPa,temperature,850,ground_truth
GraphCast,,2023-01-23T06:00,5,30.0,1.25,279.80145263671875,0.093780517578125,279.8630065917969,0.15533447265625,279.7076721191406,temperature_850hPa,temperature,850,ground_truth
GraphCast,,2023-01-23T06:00,6,36.0,1.5,279.81304931640625,0.105377197265625,279.89031982421875,0.182647705078125,279.7076721191406,temperature_850hPa,temperature,850,ground_truth
GraphCast,,2023-01-23T06:00,7,42.0,1.75,279.7731628417969,0.06549072265625,279.84423828125,0.136566162109375,279.7076721191406,temperature_850hPa,temperature,850,ground_truth
GraphCast,,2023-01-23T06:00,8,48.0,2.0,279.73095703125,0.023284912109375,279.8030700683594,0.09539794921875,279.7076721191406,temperature_850hPa,temperature,850,ground_truth
GraphCast,,2023-01-23T06:00,9,54.0,2.25,279.8379211425781,0.1302490234375,279.9585876464844,0.25091552734375,279.7076721191406,temperature_850hPa,temperature,850,ground_truth
GraphCast,,2023-01-23T06:00,10,60.0,2.5,279.8533020019531,0.1456298828125,279.9637451171875,0.256072998046875,279.7076721191406,temperature_850hPa,temperature,850,ground_truth
GraphCast,,2023-01-23T06:00,11,66.0,2.75,279.8144836425781,0.1068115234375,279.964599609375,0.256927490234375,279.7076721191406,temperature_850hPa,temperature,850,ground_truth
GraphCast,,2023-01-23T06:00,12,72.0,3.0,279.77923583984375,0.071563720703125,279.9187316894531,0.2110595703125,279.7076721191406,temperature_850hPa,temperature,850,ground_truth
GraphCast,,2023-01-23T06:00,13,78.0,3.25,279.8739013671875,0.166229248046875,280.0337829589844,0.32611083984375,279.7076721191406,temperature_850hPa,temperature,850,ground_truth
GraphCast,,2023-01-23T06:00,14,84.0,3.5,279.862060546875,0.154388427734375,280.0093994140625,0.301727294921875,279.7076721191406,temperature_850hPa,temperature,850,ground_truth
GraphCast,,2023-01-23T06:00,15,90.0,3.75,279.7898864746094,0.08221435546875,279.942138671875,0.234466552734375,279.7076721191406,temperature_850hPa,temperature,850,ground_truth
GraphCast,,2023-01-23T06:00,16,96.0,4.0,279.7409362792969,0.03326416015625,279.87506103515625,0.167388916015625,279.7076721191406,temperature_850hPa,temperature,850,ground_truth
GraphCast,,2023-01-23T06:00,17,102.0,4.25,279.8599548339844,0.15228271484375,279.9977111816406,0.2900390625,279.7076721191406,temperature_850hPa,temperature,850,ground_truth
GraphCast,,2023-01-23T06:00,18,108.0,4.5,279.8709411621094,0.16326904296875,279.9966125488281,0.2889404296875,279.7076721191406,temperature_850hPa,temperature,850,ground_truth
GraphCast,,2023-01-23T06:00,19,114.0,4.75,279.8157653808594,0.10809326171875,279.9497375488281,0.2420654296875,279.7076721191406,temperature_850hPa,temperature,850,ground_truth
GraphCast,,2023-01-23T06:00,20,120.0,5.0,279.7740478515625,0.066375732421875,279.9068603515625,0.199188232421875,279.7076721191406,temperature_850hPa,temperature,850,ground_truth
GraphCast,,2023-01-23T06:00,21,126.0,5.25,279.8780212402344,0.17034912109375,280.0269775390625,0.319305419921875,279.7076721191406,temperature_850hPa,temperature,850,ground_truth
GraphCast,,2023-01-23T06:00,22,132.0,5.5,279.8584899902344,0.15081787109375,279.97186279296875,0.264190673828125,279.7076721191406,temperature_850hPa,temperature,850,ground_truth
GraphCast,,2023-01-23T06:00,23,138.0,5.75,279.7882995605469,0.08062744140625,279.8674011230469,0.15972900390625,279.7076721191406,temperature_850hPa,temperature,850,ground_truth
GraphCast,,2023-01-23T06:00,24,144.0,6.0,279.74517822265625,0.037506103515625,279.7908020019531,0.0831298828125,279.7076721191406,temperature_850hPa,temperature,850,ground_truth
GraphCast,,2023-01-23T06:00,25,150.0,6.25,279.8453674316406,0.1376953125,279.8926086425781,0.1849365234375,279.7076721191406,temperature_850hPa,temperature,850,ground_truth
GraphCast,,2023-01-23T06:00,26,156.0,6.5,279.8312683105469,0.12359619140625,279.8583984375,0.150726318359375,279.7076721191406,temperature_850hPa,temperature,850,ground_truth
GraphCast,,2023-01-23T06:00,27,162.0,6.75,279.7897644042969,0.08209228515625,279.79986572265625,0.092193603515625,279.7076721191406,temperature_850hPa,temperature,850,ground_truth
GraphCast,,2023-01-23T06:00,28,168.0,7.0,279.772216796875,0.064544677734375,279.7698974609375,0.062225341796875,279.7076721191406,temperature_850hPa,temperature,850,ground_truth
GraphCast,,2023-01-23T06:00,29,174.0,7.25,279.88140869140625,0.173736572265625,279.8847961425781,0.1771240234375,279.7076721191406,temperature_850hPa,temperature,850,ground_truth
GraphCast,,2023-01-23T06:00,30,180.0,7.5,279.86981201171875,0.162139892578125,279.8931884765625,0.185516357421875,279.7076721191406,temperature_850hPa,temperature,850,ground_truth
GraphCast,,2023-01-23T06:00,31,186.0,7.75,279.81634521484375,0.108673095703125,279.8571472167969,0.14947509765625,279.7076721191406,temperature_850hPa,temperature,850,ground_truth
GraphCast,,2023-01-23T06:00,32,192.0,8.0,279.7801818847656,0.072509765625,279.8008117675781,0.0931396484375,279.7076721191406,temperature_850hPa,temperature,850,ground_truth
GraphCast,,2023-01-23T06:00,33,198.0,8.25,279.8751220703125,0.167449951171875,279.9229431152344,0.21527099609375,279.7076721191406,temperature_850hPa,temperature,850,ground_truth
GraphCast,,2023-01-23T06:00,34,204.0,8.5,279.83892822265625,0.131256103515625,279.8809509277344,0.17327880859375,279.7076721191406,temperature_850hPa,temperature,850,ground_truth
GraphCast,,2023-01-23T06:00,35,210.0,8.75,279.7659606933594,0.05828857421875,279.82635498046875,0.118682861328125,279.7076721191406,temperature_850hPa,temperature,850,ground_truth
GraphCast,,2023-01-23T06:00,36,216.0,9.0,279.7163391113281,0.0086669921875,279.796875,0.089202880859375,279.7076721191406,temperature_850hPa,temperature,850,ground_truth
GraphCast,,2023-01-23T06:00,37,222.0,9.25,279.81317138671875,0.105499267578125,279.9354553222656,0.227783203125,279.7076721191406,temperature_850hPa,temperature,850,ground_truth
GraphCast,,2023-01-23T06:00,38,228.0,9.5,279.8067321777344,0.09906005859375,279.954345703125,0.246673583984375,279.7076721191406,temperature_850hPa,temperature,850,ground_truth
GraphCast,,2023-01-23T06:00,39,234.0,9.75,279.76666259765625,0.058990478515625,279.94598388671875,0.238311767578125,279.7076721191406,temperature_850hPa,temperature,850,ground_truth
GraphCast,,2023-01-23T06:00,40,240.0,10.0,279.7442932128906,0.03662109375,279.92694091796875,0.219268798828125,279.7076721191406,temperature_850hPa,temperature,850,ground_truth
