day,step,lead_hours,lead_day,temperature_850hPa_rmse_k,temperature_850hPa_mean_bias_k,metric_variable,metric_level_hpa,reference
1,4,24.0,1.0,0.7540417313575745,-0.06038802117109299,temperature,850,ground_truth
2,8,48.0,2.0,0.9812612533569336,-0.06918889284133911,temperature,850,ground_truth
3,12,72.0,3.0,1.2005525827407837,-0.08730152994394302,temperature,850,ground_truth
4,16,96.0,4.0,1.458453893661499,-0.12177993357181549,temperature,850,ground_truth
5,20,120.0,5.0,1.8559653759002686,-0.1243976578116417,temperature,850,ground_truth
6,24,144.0,6.0,2.237821578979492,-0.20247597992420197,temperature,850,ground_truth
7,28,168.0,7.0,2.5588338375091553,-0.16962206363677979,temperature,850,ground_truth
8,32,192.0,8.0,2.7427566051483154,-0.1019933894276619,temperature,850,ground_truth
9,36,216.0,9.0,3.0305263996124268,-0.09265773743391037,temperature,850,ground_truth
10,40,240.0,10.0,3.205838203430176,-0.0741652250289917,temperature,850,ground_truth
