day,step,lead_hours,lead_day,temperature_850hPa_rmse_k,temperature_850hPa_mean_bias_k,metric_variable,metric_level_hpa,reference
1,4,24.0,1.0,0.7260023951530457,-0.04969604313373566,temperature,850,ground_truth
2,8,48.0,2.0,0.8972119688987732,-0.024312952533364296,temperature,850,ground_truth
3,12,72.0,3.0,1.053853154182434,-0.05205467715859413,temperature,850,ground_truth
4,16,96.0,4.0,1.3114641904830933,-0.07186491787433624,temperature,850,ground_truth
5,20,120.0,5.0,1.6129611730575562,-0.12820515036582947,temperature,850,ground_truth
6,24,144.0,6.0,1.974704623222351,-0.13251690566539764,temperature,850,ground_truth
7,28,168.0,7.0,2.3324570655822754,-0.1905273199081421,temperature,850,ground_truth
8,32,192.0,8.0,2.8460118770599365,-0.26763665676116943,temperature,850,ground_truth
9,36,216.0,9.0,3.277468681335449,-0.21975837647914886,temperature,850,ground_truth
10,40,240.0,10.0,3.3431992530822754,-0.2600700557231903,temperature,850,ground_truth
