day,step,lead_hours,lead_day,temperature_850hPa_rmse_k,temperature_850hPa_mean_bias_k,metric_variable,metric_level_hpa,reference
1,4,24.0,1.0,0.7030172348022461,-0.058411404490470886,temperature,850,ground_truth
2,8,48.0,2.0,0.8994954228401184,-0.11760293692350388,temperature,850,ground_truth
3,12,72.0,3.0,1.0668790340423584,-0.14394190907478333,temperature,850,ground_truth
4,16,96.0,4.0,1.263495922088623,-0.09175264090299606,temperature,850,ground_truth
5,20,120.0,5.0,1.5295262336730957,-0.13216659426689148,temperature,850,ground_truth
6,24,144.0,6.0,1.8099563121795654,-0.19633059203624725,temperature,850,ground_truth
7,28,168.0,7.0,2.176483154296875,-0.2229081094264984,temperature,850,ground_truth
8,32,192.0,8.0,2.6903560161590576,-0.23683306574821472,temperature,850,ground_truth
9,36,216.0,9.0,3.1050338745117188,-0.29924651980400085,temperature,850,ground_truth
10,40,240.0,10.0,3.471515417098999,-0.3559706509113312,temperature,850,ground_truth
