day,step,lead_hours,lead_day,temperature_850hPa_rmse_k,temperature_850hPa_mean_bias_k,metric_variable,metric_level_hpa,reference
1,4,24.0,1.0,0.7239397168159485,-0.056037332862615585,temperature,850,ground_truth
2,8,48.0,2.0,0.9233953356742859,-0.06600048393011093,temperature,850,ground_truth
3,12,72.0,3.0,1.1548616886138916,-0.06956757605075836,temperature,850,ground_truth
4,16,96.0,4.0,1.445783257484436,-0.09034369140863419,temperature,850,ground_truth
5,20,120.0,5.0,1.7661937475204468,-0.14299848675727844,temperature,850,ground_truth
6,24,144.0,6.0,2.2893903255462646,-0.1655171662569046,temperature,850,ground_truth
7,28,168.0,7.0,2.8032329082489014,-0.19639435410499573,temperature,850,ground_truth
8,32,192.0,8.0,3.0411746501922607,-0.21896149218082428,temperature,850,ground_truth
9,36,216.0,9.0,3.3121542930603027,-0.21462225914001465,temperature,850,ground_truth
10,40,240.0,10.0,3.6446874141693115,-0.29158371686935425,temperature,850,ground_truth
