day,step,lead_hours,lead_day,temperature_850hPa_rmse_k,temperature_850hPa_mean_bias_k,metric_variable,metric_level_hpa,reference
1,4,24.0,1.0,0.7433788180351257,-0.05846386402845383,temperature,850,ground_truth
2,8,48.0,2.0,0.928774893283844,-0.03782806545495987,temperature,850,ground_truth
3,12,72.0,3.0,1.1590358018875122,-0.05204450339078903,temperature,850,ground_truth
4,16,96.0,4.0,1.3961029052734375,-0.09460511058568954,temperature,850,ground_truth
5,20,120.0,5.0,1.739274501800537,-0.09095215797424316,temperature,850,ground_truth
6,24,144.0,6.0,2.019181728363037,-0.12083284556865692,temperature,850,ground_truth
7,28,168.0,7.0,2.328482151031494,-0.15156981348991394,temperature,850,ground_truth
8,32,192.0,8.0,2.7037465572357178,-0.08834720402956009,temperature,850,ground_truth
9,36,216.0,9.0,2.8994343280792236,-0.11338398605585098,temperature,850,ground_truth
10,40,240.0,10.0,3.232607364654541,-0.061042025685310364,temperature,850,ground_truth
