day,step,lead_hours,lead_day,temperature_850hPa_rmse_k,temperature_850hPa_mean_bias_k,metric_variable,metric_level_hpa,reference
1,4,24.0,1.0,0.7305349707603455,-0.07604613155126572,temperature,850,ground_truth
2,8,48.0,2.0,0.9577339291572571,-0.11423865705728531,temperature,850,ground_truth
3,12,72.0,3.0,1.1922935247421265,-0.11293736845254898,temperature,850,ground_truth
4,16,96.0,4.0,1.5565769672393799,-0.08867143839597702,temperature,850,ground_truth
5,20,120.0,5.0,1.9331825971603394,-0.0505802147090435,temperature,850,ground_truth
6,24,144.0,6.0,2.232590675354004,-0.08726830780506134,temperature,850,ground_truth
7,28,168.0,7.0,2.5653960704803467,-0.036743804812431335,temperature,850,ground_truth
8,32,192.0,8.0,2.988467216491699,-0.036397069692611694,temperature,850,ground_truth
9,36,216.0,9.0,3.2591989040374756,-0.0903996154665947,temperature,850,ground_truth
10,40,240.0,10.0,3.26578950881958,-0.1313125044107437,temperature,850,ground_truth
