day,step,lead_hours,lead_day,temperature_850hPa_rmse_k,temperature_850hPa_mean_bias_k,metric_variable,metric_level_hpa,reference
1,4,24.0,1.0,0.709817111492157,-0.03689790889620781,temperature,850,ground_truth
2,8,48.0,2.0,0.9122139811515808,-0.09386502951383591,temperature,850,ground_truth
3,12,72.0,3.0,1.1944149732589722,-0.10131638497114182,temperature,850,ground_truth
4,16,96.0,4.0,1.4887425899505615,-0.07374904304742813,temperature,850,ground_truth
5,20,120.0,5.0,1.872812271118164,-0.06964308768510818,temperature,850,ground_truth
6,24,144.0,6.0,2.2943882942199707,-0.031762730330228806,temperature,850,ground_truth
7,28,168.0,7.0,2.656440258026123,-0.05787040665745735,temperature,850,ground_truth
8,32,192.0,8.0,2.7608416080474854,-0.09464037418365479,temperature,850,ground_truth
9,36,216.0,9.0,3.2713491916656494,-0.12805263698101044,temperature,850,ground_truth
10,40,240.0,10.0,3.6115214824676514,-0.06915945559740067,temperature,850,ground_truth
