day,step,lead_hours,lead_day,temperature_850hPa_rmse_k,temperature_850hPa_mean_bias_k,metric_variable,metric_level_hpa,reference
1,4,24.0,1.0,0.7801617980003357,-0.0804019346833229,temperature,850,ground_truth
2,8,48.0,2.0,0.9576591849327087,-0.12692327797412872,temperature,850,ground_truth
3,12,72.0,3.0,1.157583236694336,-0.11784492433071136,temperature,850,ground_truth
4,16,96.0,4.0,1.4881387948989868,-0.1553230583667755,temperature,850,ground_truth
5,20,120.0,5.0,1.8984901905059814,-0.21644119918346405,temperature,850,ground_truth
6,24,144.0,6.0,2.2681233882904053,-0.20225386321544647,temperature,850,ground_truth
7,28,168.0,7.0,2.766771078109741,-0.15943798422813416,temperature,850,ground_truth
8,32,192.0,8.0,2.9647181034088135,-0.17366153001785278,temperature,850,ground_truth
9,36,216.0,9.0,3.090529441833496,-0.17618946731090546,temperature,850,ground_truth
10,40,240.0,10.0,3.398683786392212,-0.16473330557346344,temperature,850,ground_truth
