day,step,lead_hours,lead_day,temperature_850hPa_rmse_k,temperature_850hPa_mean_bias_k,metric_variable,metric_level_hpa,reference
1,4,24.0,1.0,0.740267276763916,-0.06255478411912918,temperature,850,ground_truth
2,8,48.0,2.0,0.9222947359085083,-0.09442897886037827,temperature,850,ground_truth
3,12,72.0,3.0,1.1410062313079834,-0.08986912667751312,temperature,850,ground_truth
4,16,96.0,4.0,1.3899270296096802,-0.14522160589694977,temperature,850,ground_truth
5,20,120.0,5.0,1.6842870712280273,-0.11877331137657166,temperature,850,ground_truth
6,24,144.0,6.0,2.000359296798706,-0.08123617619276047,temperature,850,ground_truth
7,28,168.0,7.0,2.3039286136627197,-0.014604962430894375,temperature,850,ground_truth
8,32,192.0,8.0,2.3781392574310303,0.024597546085715294,temperature,850,ground_truth
9,36,216.0,9.0,2.751333236694336,0.013384606689214706,temperature,850,ground_truth
10,40,240.0,10.0,3.3280694484710693,-0.027792301028966904,temperature,850,ground_truth
