day,step,lead_hours,lead_day,temperature_850hPa_rmse_k,temperature_850hPa_mean_bias_k,metric_variable,metric_level_hpa,reference
1,4,24.0,1.0,0.7232550382614136,-0.048406489193439484,temperature,850,ground_truth
2,8,48.0,2.0,0.9571093916893005,-0.05150903761386871,temperature,850,ground_truth
3,12,72.0,3.0,1.2162519693374634,-0.0828922837972641,temperature,850,ground_truth
4,16,96.0,4.0,1.4397971630096436,-0.0984937846660614,temperature,850,ground_truth
5,20,120.0,5.0,1.8214244842529297,-0.1587860882282257,temperature,850,ground_truth
6,24,144.0,6.0,2.2817115783691406,-0.18218836188316345,temperature,850,ground_truth
7,28,168.0,7.0,2.684490919113159,-0.12529024481773376,temperature,850,ground_truth
8,32,192.0,8.0,3.0743520259857178,-0.1529858112335205,temperature,850,ground_truth
9,36,216.0,9.0,3.7009503841400146,-0.18106329441070557,temperature,850,ground_truth
10,40,240.0,10.0,4.209255695343018,-0.2833636403083801,temperature,850,ground_truth
