model,scenario,init_time,step,lead_hours,lead_day,global_mean_k,global_mean_anomaly_k,reference_global_mean_k,reference_global_mean_anomaly_k,initial_global_mean_k,metric_id,metric_variable,metric_level_hpa,reference
GraphCast,,2023-08-05T06:00,1,6.0,0.25,283.7091064453125,0.139801025390625,283.7427673339844,0.1734619140625,283.5693054199219,temperature_850hPa,temperature,850,ground_truth
GraphCast,,2023-08-05T06:00,2,12.0,0.5,283.70635986328125,0.137054443359375,283.7446594238281,0.17535400390625,283.5693054199219,temperature_850hPa,temperature,850,ground_truth
GraphCast,,2023-08-05T06:00,3,18.0,0.75,283.6468811035156,0.07757568359375,283.707275390625,0.137969970703125,283.5693054199219,temperature_850hPa,temperature,850,ground_truth
GraphCast,,2023-08-05T06:00,4,24.0,1.0,283.569091796875,-0.000213623046875,283.6172180175781,0.04791259765625,283.5693054199219,temperature_850hPa,temperature,850,ground_truth
GraphCast,,2023-08-05T06:00,5,30.0,1.25,283.684326171875,0.115020751953125,283.7332763671875,0.163970947265625,283.5693054199219,temperature_850hPa,temperature,850,ground_truth
GraphCast,,2023-08-05T06:00,6,36.0,1.5,283.6641845703125,0.094879150390625,283.7288818359375,0.159576416015625,283.5693054199219,temperature_850hPa,temperature,850,ground_truth
GraphCast,,2023-08-05T06:00,7,42.0,1.75,283.5797424316406,0.01043701171875,283.6186828613281,0.04937744140625,283.5693054199219,temperature_850hPa,temperature,850,ground_truth
GraphCast,,2023-08-05T06:00,8,48.0,2.0,283.4879455566406,-0.08135986328125,283.5350036621094,-0.0343017578125,283.5693054199219,temperature_850hPa,temperature,850,ground_truth
GraphCast,,2023-08-05T06:00,9,54.0,2.25,283.5836486816406,0.01434326171875,283.64501953125,0.075714111328125,283.5693054199219,temperature_850hPa,temperature,850,ground_truth
GraphCast,,2023-08-05T06:00,10,60.0,2.5,283.54119873046875,-0.028106689453125,283.614990234375,0.045684814453125,283.5693054199219,temperature_850hPa,temperature,850,ground_truth
GraphCast,,2023-08-05T06:00,11,66.0,2.75,283.4356689453125,-0.133636474609375,283.5387268066406,-0.03057861328125,283.5693054199219,temperature_850hPa,temperature,850,ground_truth
GraphCast,,2023-08-05T06:00,12,72.0,3.0,283.3363342285156,-0.23297119140625,283.4124450683594,-0.1568603515625,283.5693054199219,temperature_850hPa,temperature,850,ground_truth
GraphCast,,2023-08-05T06:00,13,78.0,3.25,283.4358825683594,-0.1334228515625,283.51043701171875,-0.058868408203125,283.5693054199219,temperature_850hPa,temperature,850,ground_truth
GraphCast,,2023-08-05T06:00,14,84.0,3.5,283.39727783203125,-0.172027587890625,283.4877624511719,-0.08154296875,283.5693054199219,temperature_850hPa,temperature,850,ground_truth
GraphCast,,2023-08-05T06:00,15,90.0,3.75,283.3030090332031,-0.26629638671875,283.42767333984375,-0.141632080078125,283.5693054199219,temperature_850hPa,temperature,850,ground_truth
GraphCast,,2023-08-05T06:00,16,96.0,4.0,283.21453857421875,-0.354766845703125,283.3222351074219,-0.2470703125,283.5693054199219,temperature_850hPa,temperature,850,ground_truth
GraphCast,,2023-08-05T06:00,17,102.0,4.25,283.3251647949219,-0.244140625,283.4097900390625,-0.159515380859375,283.5693054199219,temperature_850hPa,temperature,850,ground_truth
GraphCast,,2023-08-05T06:00,18,108.0,4.5,283.30621337890625,-0.263092041015625,283.3871765136719,-0.18212890625,283.5693054199219,temperature_850hPa,temperature,850,ground_truth
GraphCast,,2023-08-05T06:00,19,114.0,4.75,283.236572265625,-0.332733154296875,283.3150634765625,-0.254241943359375,283.5693054199219,temperature_850hPa,temperature,850,ground_truth
GraphCast,,2023-08-05T06:00,20,120.0,5.0,283.1551818847656,-0.41412353515625,283.2242431640625,-0.345062255859375,283.5693054199219,temperature_850hPa,temperature,850,ground_truth
GraphCast,,2023-08-05T06:00,21,126.0,5.25,283.2919921875,-0.277313232421875,283.3494567871094,-0.2198486328125,283.5693054199219,temperature_850hPa,temperature,850,ground_truth
GraphCast,,2023-08-05T06:00,22,132.0,5.5,283.2956237792969,-0.273681640625,283.3558654785156,-0.21343994140625,283.5693054199219,temperature_850hPa,temperature,850,ground_truth
GraphCast,,2023-08-05T06:00,23,138.0,5.75,283.2279357910156,-0.34136962890625,283.3155212402344,-0.2537841796875,283.5693054199219,temperature_850hPa,temperature,850,ground_truth
GraphCast,,2023-08-05T06:00,24,144.0,6.0,283.1405334472656,-0.42877197265625,283.2428894042969,-0.326416015625,283.5693054199219,temperature_850hPa,temperature,850,ground_truth
GraphCast,,2023-08-05T06:00,25,150.0,6.25,283.2510681152344,-0.3182373046875,283.3746643066406,-0.19464111328125,283.5693054199219,temperature_850hPa,temperature,850,ground_truth
GraphCast,,2023-08-05T06:00,26,156.0,6.5,283.2423400878906,-0.32696533203125,283.3979797363281,-0.17132568359375,283.5693054199219,temperature_850hPa,temperature,850,ground_truth
GraphCast,,2023-08-05T06:00,27,162.0,6.75,283.17205810546875,-0.397247314453125,283.3438720703125,-0.225433349609375,283.5693054199219,temperature_850hPa,temperature,850,ground_truth
GraphCast,,2023-08-05T06:00,28,168.0,7.0,283.1109313964844,-0.4583740234375,283.2425231933594,-0.3267822265625,283.5693054199219,temperature_850hPa,temperature,850,ground_truth
GraphCast,,2023-08-05T06:00,29,174.0,7.25,283.2353820800781,-0.33392333984375,283.37890625,-0.190399169921875,283.5693054199219,temperature_850hPa,temperature,850,ground_truth
GraphCast,,2023-08-05T06:00,30,180.0,7.5,283.24468994140625,-0.324615478515625,283.3760681152344,-0.1932373046875,283.5693054199219,temperature_850hPa,temperature,850,ground_truth
GraphCast,,2023-08-05T06:00,31,186.0,7.75,283.19873046875,-0.370574951171875,283.33624267578125,-0.233062744140625,283.5693054199219,temperature_850hPa,temperature,850,ground_truth
GraphCast,,2023-08-05T06:00,32,192.0,8.0,283.12841796875,-0.440887451171875,283.2819519042969,-0.287353515625,283.5693054199219,temperature_850hPa,temperature,850,ground_truth
GraphCast,,2023-08-05T06:00,33,198.0,8.25,283.2389831542969,-0.330322265625,283.4210510253906,-0.14825439453125,283.5693054199219,temperature_850hPa,temperature,850,ground_truth
GraphCast,,2023-08-05T06:00,34,204.0,8.5,283.2363586425781,-0.33294677734375,283.4265441894531,-0.14276123046875,283.5693054199219,temperature_850hPa,temperature,850,ground_truth
GraphCast,,2023-08-05T06:00,35,210.0,8.75,283.18011474609375,-0.389190673828125,283.4039306640625,-0.165374755859375,283.5693054199219,temperature_850hPa,temperature,850,ground_truth
GraphCast,,2023-08-05T06:00,36,216.0,9.0,283.11126708984375,-0.458038330078125,283.33538818359375,-0.233917236328125,283.5693054199219,temperature_850hPa,temperature,850,ground_truth
GraphCast,,2023-08-05T06:00,37,222.0,9.25,283.2364501953125,-0.332855224609375,283.46844482421875,-0.100860595703125,283.5693054199219,temperature_850hPa,temperature,850,ground_truth
GraphCast,,2023-08-05T06:00,38,228.0,9.5,283.2378234863281,-0.33148193359375,283.4454650878906,-0.12384033203125,283.5693054199219,temperature_850hPa,temperature,850,ground_truth
GraphCast,,2023-08-05T06:00,39,234.0,9.75,283.18157958984375,-0.387725830078125,283.41357421875,-0.155731201171875,283.5693054199219,temperature_850hPa,temperature,850,ground_truth
GraphCast,,2023-08-05T06:00,40,240.0,10.0,283.1054382324219,-0.4638671875,283.3480224609375,-0.221282958984375,283.5693054199219,temperature_850hPa,temperature,850,ground_truth
