dataset,year,variable,level,region,hour,value,anom,n_days,anom_sd,value_sd,anom_lo,anom_hi,value_lo,value_hi
ERA5 1955,1955,geopotential,500,world,0,55375.35413591107,-5.171341184587541,365,7.118638917129195,202.4819803513529,-5.9016366824691975,-4.441045686705884,55354.58167078477,55396.126601037366
ERA5 1955,1955,geopotential,500,world,6,55368.34023928812,-12.185237807542093,365,6.118282126580812,202.2583494330354,-12.812907498873155,-11.55756811621103,55347.59071627965,55389.089762296586
ERA5 1955,1955,geopotential,500,world,12,55387.99733640974,7.471859314085773,365,6.176585847487526,205.2901948249434,6.838208290454589,8.105510337716957,55366.9367787968,55409.05789402268
ERA5 1955,1955,geopotential,500,world,18,55390.4101967737,9.884719678044279,365,7.06135130235743,205.36019474007824,9.160301270943492,10.609138085145066,55369.34245792521,55411.47793562219
ERA5 2023,2023,geopotential,500,world,0,55657.2687847849,0.5870389617513666,365,3.3184103127338744,223.22591885325636,0.24660589024351637,0.9274720332592168,55634.36821552625,55680.16935404355
ERA5 2023,2023,geopotential,500,world,6,55649.120519650176,-7.561226172973773,365,1.89118981560144,222.2875920794972,-7.755241830187407,-7.367210515760139,55626.31621258805,55671.924826712304
ERA5 2023,2023,geopotential,500,world,12,55659.953635534184,3.2718897110416174,365,1.7353043824282033,223.4621710943048,3.093866216284463,3.449913205798772,55637.02882934626,55682.87844172211
ERA5 2023,2023,geopotential,500,world,18,55660.38404332333,3.702297500181267,365,3.3708917467750754,223.04796948795376,3.356480400146497,4.048114600216037,55637.501729748365,55683.26635689829
NextGEMS-2049,2049,geopotential,500,world,0,56030.705829637416,-0.6139366301963479,365,3.2488744408062122,206.8917278960791,-0.9472360719750861,-0.28063718841760976,56009.48097202202,56051.93068725281
NextGEMS-2049,2049,geopotential,500,world,6,56025.00728967249,-6.312476595117246,365,1.8082083355224103,205.9559127979858,-6.49797924836836,-6.126973941866133,56003.87843658281,56046.13614276217
NextGEMS-2049,2049,geopotential,500,world,12,56031.71136693281,0.39160066519984305,365,1.4880136833848483,207.4167443123606,0.23894652633807087,0.5442548040616152,56010.43264830134,56052.99008556428
NextGEMS-2049,2049,geopotential,500,world,18,56037.85457882772,6.5348125601136715,365,3.4430104748181476,207.8233388095743,6.181596857197658,6.888028263029685,56016.53414799056,56059.175009664876
ERA5 1955,1955,temperature,850,world,0,280.5689134164114,-0.037849072263994823,365,0.032181624515921416,1.1334969859861685,-0.04115055949660941,-0.03454758503138024,280.45262886323144,280.6851979695914
ERA5 1955,1955,temperature,850,world,6,280.51985592079257,-0.08690656788283622,365,0.0245025845496341,1.1222835860151141,-0.08942026852018767,-0.08439286724548478,280.40472174138625,280.6349901001989
ERA5 1955,1955,temperature,850,world,12,280.6688239011266,0.06206141245116818,365,0.022252891201657014,1.1313841823131776,0.059778506062937685,0.06434431883939867,280.55275609879294,280.78489170346023
ERA5 1955,1955,temperature,850,world,18,280.6694567163711,0.06269422769565945,365,0.033528533482977234,1.1408081166898936,0.059254562144668524,0.06613389324665038,280.5524221201141,280.7864913126281
ERA5 2023,2023,temperature,850,world,0,281.7491769717178,-0.012854285181510652,365,0.027429421254892557,1.2550515919095413,-0.0156682476657921,-0.010040322697229206,281.620422228311,281.87793171512465
ERA5 2023,2023,temperature,850,world,6,281.68905448087236,-0.07297677602697564,365,0.01938949525207054,1.235460128776376,-0.07496592890488216,-0.07098762314906912,281.56230961006753,281.8157993516772
ERA5 2023,2023,temperature,850,world,12,281.81298673309885,0.050955476199501144,365,0.015178951199363386,1.2498905173873185,0.049398279683073414,0.052512672715928875,281.6847614602175,281.9412120059802
ERA5 2023,2023,temperature,850,world,18,281.79690684190837,0.034875585008990906,365,0.026284411456186544,1.2510269474120954,0.032179088168178646,0.037572081849803166,281.66856498357566,281.92524870024107
NextGEMS-2049,2049,temperature,850,world,0,283.3195064205257,-0.027873354574552346,365,0.02543368117352043,1.267957811265031,-0.03048257567310892,-0.02526413347599577,283.1894276383525,283.4495852026989
NextGEMS-2049,2049,temperature,850,world,6,283.27840549613387,-0.06897427896642497,365,0.02092407408810488,1.2507330020164025,-0.07112086306512339,-0.06682769486772655,283.15009379342524,283.4067171988425
NextGEMS-2049,2049,temperature,850,world,12,283.38649598051956,0.03911620541929682,365,0.013750333805056565,1.2653486075706435,0.03770556962373207,0.040526841214861574,283.25668487447564,283.5163070865635
NextGEMS-2049,2049,temperature,850,world,18,283.40511120322196,0.057731428121675345,365,0.027549588916089406,1.2744576032034596,0.05490513773272214,0.06055771851062855,283.2743656125697,283.53585679387425
