model,scenario,init_time,step,lead_hours,lead_day,global_mean_k,global_mean_anomaly_k,reference_global_mean_k,reference_global_mean_anomaly_k,initial_global_mean_k,metric_id,metric_variable,metric_level_hpa,reference
GraphCast,,2023-08-27T06:00,1,6.0,0.25,283.2594299316406,0.110443115234375,283.2805480957031,0.131561279296875,283.14898681640625,temperature_850hPa,temperature,850,ground_truth
GraphCast,,2023-08-27T06:00,2,12.0,0.5,283.2131042480469,0.064117431640625,283.23760986328125,0.088623046875,283.14898681640625,temperature_850hPa,temperature,850,ground_truth
GraphCast,,2023-08-27T06:00,3,18.0,0.75,283.12579345703125,-0.023193359375,283.1777038574219,0.028717041015625,283.14898681640625,temperature_850hPa,temperature,850,ground_truth
GraphCast,,2023-08-27T06:00,4,24.0,1.0,283.02789306640625,-0.12109375,283.0786437988281,-0.070343017578125,283.14898681640625,temperature_850hPa,temperature,850,ground_truth
GraphCast,,2023-08-27T06:00,5,30.0,1.25,283.14593505859375,-0.0030517578125,283.2096862792969,0.060699462890625,283.14898681640625,temperature_850hPa,temperature,850,ground_truth
GraphCast,,2023-08-27T06:00,6,36.0,1.5,283.15167236328125,0.002685546875,283.21722412109375,0.0682373046875,283.14898681640625,temperature_850hPa,temperature,850,ground_truth
GraphCast,,2023-08-27T06:00,7,42.0,1.75,283.1084289550781,-0.040557861328125,283.187744140625,0.03875732421875,283.14898681640625,temperature_850hPa,temperature,850,ground_truth
GraphCast,,2023-08-27T06:00,8,48.0,2.0,283.0465087890625,-0.10247802734375,283.13555908203125,-0.013427734375,283.14898681640625,temperature_850hPa,temperature,850,ground_truth
GraphCast,,2023-08-27T06:00,9,54.0,2.25,283.1744689941406,0.025482177734375,283.26702880859375,0.1180419921875,283.14898681640625,temperature_850hPa,temperature,850,ground_truth
GraphCast,,2023-08-27T06:00,10,60.0,2.5,283.1744689941406,0.025482177734375,283.26837158203125,0.119384765625,283.14898681640625,temperature_850hPa,temperature,850,ground_truth
GraphCast,,2023-08-27T06:00,11,66.0,2.75,283.09686279296875,-0.0521240234375,283.2232971191406,0.074310302734375,283.14898681640625,temperature_850hPa,temperature,850,ground_truth
GraphCast,,2023-08-27T06:00,12,72.0,3.0,282.9854736328125,-0.16351318359375,283.1026916503906,-0.046295166015625,283.14898681640625,temperature_850hPa,temperature,850,ground_truth
GraphCast,,2023-08-27T06:00,13,78.0,3.25,283.0989074707031,-0.050079345703125,283.24761962890625,0.0986328125,283.14898681640625,temperature_850hPa,temperature,850,ground_truth
GraphCast,,2023-08-27T06:00,14,84.0,3.5,283.09259033203125,-0.056396484375,283.2332763671875,0.08428955078125,283.14898681640625,temperature_850hPa,temperature,850,ground_truth
GraphCast,,2023-08-27T06:00,15,90.0,3.75,283.0081481933594,-0.140838623046875,283.15740966796875,0.0084228515625,283.14898681640625,temperature_850hPa,temperature,850,ground_truth
GraphCast,,2023-08-27T06:00,16,96.0,4.0,282.90478515625,-0.24420166015625,283.0616149902344,-0.087371826171875,283.14898681640625,temperature_850hPa,temperature,850,ground_truth
GraphCast,,2023-08-27T06:00,17,102.0,4.25,283.030517578125,-0.11846923828125,283.2439880371094,0.095001220703125,283.14898681640625,temperature_850hPa,temperature,850,ground_truth
GraphCast,,2023-08-27T06:00,18,108.0,4.5,283.01434326171875,-0.1346435546875,283.20819091796875,0.0592041015625,283.14898681640625,temperature_850hPa,temperature,850,ground_truth
GraphCast,,2023-08-27T06:00,19,114.0,4.75,282.9321594238281,-0.216827392578125,283.1343078613281,-0.014678955078125,283.14898681640625,temperature_850hPa,temperature,850,ground_truth
GraphCast,,2023-08-27T06:00,20,120.0,5.0,282.8357849121094,-0.313201904296875,283.0330810546875,-0.11590576171875,283.14898681640625,temperature_850hPa,temperature,850,ground_truth
GraphCast,,2023-08-27T06:00,21,126.0,5.25,282.9535827636719,-0.195404052734375,283.1731262207031,0.024139404296875,283.14898681640625,temperature_850hPa,temperature,850,ground_truth
GraphCast,,2023-08-27T06:00,22,132.0,5.5,282.9391174316406,-0.209869384765625,283.1424560546875,-0.00653076171875,283.14898681640625,temperature_850hPa,temperature,850,ground_truth
