day,step,lead_hours,lead_day,temperature_850hPa_rmse_k,temperature_850hPa_mean_bias_k,metric_variable,metric_level_hpa,reference
1,4,24.0,1.0,0.7462641000747681,-0.10406483709812164,temperature,850,ground_truth
2,8,48.0,2.0,0.9968549013137817,-0.150980144739151,temperature,850,ground_truth
3,12,72.0,3.0,1.2078452110290527,-0.18890033662319183,temperature,850,ground_truth
4,16,96.0,4.0,1.469316005706787,-0.1841060072183609,temperature,850,ground_truth
5,20,120.0,5.0,1.7547650337219238,-0.18381838500499725,temperature,850,ground_truth
6,24,144.0,6.0,2.1010141372680664,-0.16339658200740814,temperature,850,ground_truth
7,28,168.0,7.0,2.7004623413085938,-0.11993356794118881,temperature,850,ground_truth
8,32,192.0,8.0,3.378946542739868,-0.1759573519229889,temperature,850,ground_truth
9,36,216.0,9.0,3.669825315475464,-0.10500422865152359,temperature,850,ground_truth
10,40,240.0,10.0,3.9389290809631348,-0.03480362519621849,temperature,850,ground_truth
