day,step,lead_hours,lead_day,temperature_850hPa_rmse_k,temperature_850hPa_mean_bias_k,metric_variable,metric_level_hpa,reference
1,4,24.0,1.0,0.7202875018119812,-0.04106031730771065,temperature,850,ground_truth
2,8,48.0,2.0,0.9517097473144531,-0.08909043669700623,temperature,850,ground_truth
3,12,72.0,3.0,1.1346945762634277,-0.09797105193138123,temperature,850,ground_truth
4,16,96.0,4.0,1.3636738061904907,-0.11488072574138641,temperature,850,ground_truth
5,20,120.0,5.0,1.687185525894165,-0.12386133521795273,temperature,850,ground_truth
6,24,144.0,6.0,2.0735366344451904,-0.11629410833120346,temperature,850,ground_truth
7,28,168.0,7.0,2.5615692138671875,-0.13013042509555817,temperature,850,ground_truth
8,32,192.0,8.0,3.0441277027130127,-0.12089475989341736,temperature,850,ground_truth
9,36,216.0,9.0,3.148829936981201,-0.16502352058887482,temperature,850,ground_truth
10,40,240.0,10.0,3.2367351055145264,-0.17453347146511078,temperature,850,ground_truth
