model,scenario,init_time,step,lead_hours,lead_day,global_mean_k,global_mean_anomaly_k,reference_global_mean_k,reference_global_mean_anomaly_k,initial_global_mean_k,metric_id,metric_variable,metric_level_hpa,reference
GraphCast,,2023-01-20T06:00,1,6.0,0.25,279.8580322265625,0.056549072265625,279.8984375,0.096954345703125,279.8014831542969,temperature_850hPa,temperature,850,ground_truth
GraphCast,,2023-01-20T06:00,2,12.0,0.5,279.8357849121094,0.0343017578125,279.8802795410156,0.07879638671875,279.8014831542969,temperature_850hPa,temperature,850,ground_truth
GraphCast,,2023-01-20T06:00,3,18.0,0.75,279.796875,-0.004608154296875,279.8622131347656,0.06072998046875,279.8014831542969,temperature_850hPa,temperature,850,ground_truth
GraphCast,,2023-01-20T06:00,4,24.0,1.0,279.752197265625,-0.049285888671875,279.808837890625,0.007354736328125,279.8014831542969,temperature_850hPa,temperature,850,ground_truth
GraphCast,,2023-01-20T06:00,5,30.0,1.25,279.8276672363281,0.02618408203125,279.8999938964844,0.0985107421875,279.8014831542969,temperature_850hPa,temperature,850,ground_truth
GraphCast,,2023-01-20T06:00,6,36.0,1.5,279.79412841796875,-0.007354736328125,279.8752746582031,0.07379150390625,279.8014831542969,temperature_850hPa,temperature,850,ground_truth
GraphCast,,2023-01-20T06:00,7,42.0,1.75,279.74176025390625,-0.059722900390625,279.84527587890625,0.043792724609375,279.8014831542969,temperature_850hPa,temperature,850,ground_truth
GraphCast,,2023-01-20T06:00,8,48.0,2.0,279.6996765136719,-0.101806640625,279.7976379394531,-0.00384521484375,279.8014831542969,temperature_850hPa,temperature,850,ground_truth
GraphCast,,2023-01-20T06:00,9,54.0,2.25,279.77056884765625,-0.030914306640625,279.887451171875,0.085968017578125,279.8014831542969,temperature_850hPa,temperature,850,ground_truth
GraphCast,,2023-01-20T06:00,10,60.0,2.5,279.7380065917969,-0.0634765625,279.83001708984375,0.028533935546875,279.8014831542969,temperature_850hPa,temperature,850,ground_truth
GraphCast,,2023-01-20T06:00,11,66.0,2.75,279.6756286621094,-0.1258544921875,279.7684326171875,-0.033050537109375,279.8014831542969,temperature_850hPa,temperature,850,ground_truth
GraphCast,,2023-01-20T06:00,12,72.0,3.0,279.6282653808594,-0.1732177734375,279.7076721191406,-0.09381103515625,279.8014831542969,temperature_850hPa,temperature,850,ground_truth
GraphCast,,2023-01-20T06:00,13,78.0,3.25,279.7236328125,-0.077850341796875,279.81658935546875,0.015106201171875,279.8014831542969,temperature_850hPa,temperature,850,ground_truth
GraphCast,,2023-01-20T06:00,14,84.0,3.5,279.723876953125,-0.077606201171875,279.81689453125,0.015411376953125,279.8014831542969,temperature_850hPa,temperature,850,ground_truth
GraphCast,,2023-01-20T06:00,15,90.0,3.75,279.6751708984375,-0.126312255859375,279.77569580078125,-0.025787353515625,279.8014831542969,temperature_850hPa,temperature,850,ground_truth
GraphCast,,2023-01-20T06:00,16,96.0,4.0,279.6480712890625,-0.153411865234375,279.7408142089844,-0.0606689453125,279.8014831542969,temperature_850hPa,temperature,850,ground_truth
GraphCast,,2023-01-20T06:00,17,102.0,4.25,279.7560119628906,-0.04547119140625,279.8630065917969,0.0615234375,279.8014831542969,temperature_850hPa,temperature,850,ground_truth
GraphCast,,2023-01-20T06:00,18,108.0,4.5,279.7708740234375,-0.030609130859375,279.89031982421875,0.088836669921875,279.8014831542969,temperature_850hPa,temperature,850,ground_truth
GraphCast,,2023-01-20T06:00,19,114.0,4.75,279.7228698730469,-0.07861328125,279.84423828125,0.042755126953125,279.8014831542969,temperature_850hPa,temperature,850,ground_truth
GraphCast,,2023-01-20T06:00,20,120.0,5.0,279.68414306640625,-0.117340087890625,279.8030700683594,0.0015869140625,279.8014831542969,temperature_850hPa,temperature,850,ground_truth
GraphCast,,2023-01-20T06:00,21,126.0,5.25,279.7948303222656,-0.00665283203125,279.9585876464844,0.1571044921875,279.8014831542969,temperature_850hPa,temperature,850,ground_truth
GraphCast,,2023-01-20T06:00,22,132.0,5.5,279.818115234375,0.016632080078125,279.9637451171875,0.162261962890625,279.8014831542969,temperature_850hPa,temperature,850,ground_truth
GraphCast,,2023-01-20T06:00,23,138.0,5.75,279.7801818847656,-0.02130126953125,279.964599609375,0.163116455078125,279.8014831542969,temperature_850hPa,temperature,850,ground_truth
GraphCast,,2023-01-20T06:00,24,144.0,6.0,279.74920654296875,-0.052276611328125,279.9187316894531,0.11724853515625,279.8014831542969,temperature_850hPa,temperature,850,ground_truth
GraphCast,,2023-01-20T06:00,25,150.0,6.25,279.8738708496094,0.0723876953125,280.0337829589844,0.2322998046875,279.8014831542969,temperature_850hPa,temperature,850,ground_truth
GraphCast,,2023-01-20T06:00,26,156.0,6.5,279.8945617675781,0.09307861328125,280.0093994140625,0.207916259765625,279.8014831542969,temperature_850hPa,temperature,850,ground_truth
GraphCast,,2023-01-20T06:00,27,162.0,6.75,279.8433837890625,0.041900634765625,279.942138671875,0.140655517578125,279.8014831542969,temperature_850hPa,temperature,850,ground_truth
GraphCast,,2023-01-20T06:00,28,168.0,7.0,279.8053894042969,0.00390625,279.87506103515625,0.073577880859375,279.8014831542969,temperature_850hPa,temperature,850,ground_truth
GraphCast,,2023-01-20T06:00,29,174.0,7.25,279.92303466796875,0.121551513671875,279.9977111816406,0.19622802734375,279.8014831542969,temperature_850hPa,temperature,850,ground_truth
GraphCast,,2023-01-20T06:00,30,180.0,7.5,279.9300842285156,0.12860107421875,279.9966125488281,0.19512939453125,279.8014831542969,temperature_850hPa,temperature,850,ground_truth
GraphCast,,2023-01-20T06:00,31,186.0,7.75,279.866455078125,0.064971923828125,279.9497375488281,0.14825439453125,279.8014831542969,temperature_850hPa,temperature,850,ground_truth
GraphCast,,2023-01-20T06:00,32,192.0,8.0,279.83258056640625,0.031097412109375,279.9068603515625,0.105377197265625,279.8014831542969,temperature_850hPa,temperature,850,ground_truth
GraphCast,,2023-01-20T06:00,33,198.0,8.25,279.9374694824219,0.135986328125,280.0269775390625,0.225494384765625,279.8014831542969,temperature_850hPa,temperature,850,ground_truth
GraphCast,,2023-01-20T06:00,34,204.0,8.5,279.91552734375,0.114044189453125,279.97186279296875,0.170379638671875,279.8014831542969,temperature_850hPa,temperature,850,ground_truth
GraphCast,,2023-01-20T06:00,35,210.0,8.75,279.83270263671875,0.031219482421875,279.8674011230469,0.06591796875,279.8014831542969,temperature_850hPa,temperature,850,ground_truth
GraphCast,,2023-01-20T06:00,36,216.0,9.0,279.7695617675781,-0.03192138671875,279.7908020019531,-0.01068115234375,279.8014831542969,temperature_850hPa,temperature,850,ground_truth
GraphCast,,2023-01-20T06:00,37,222.0,9.25,279.8666687011719,0.065185546875,279.8926086425781,0.09112548828125,279.8014831542969,temperature_850hPa,temperature,850,ground_truth
GraphCast,,2023-01-20T06:00,38,228.0,9.5,279.8695068359375,0.068023681640625,279.8583984375,0.056915283203125,279.8014831542969,temperature_850hPa,temperature,850,ground_truth
GraphCast,,2023-01-20T06:00,39,234.0,9.75,279.8222351074219,0.020751953125,279.79986572265625,-0.001617431640625,279.8014831542969,temperature_850hPa,temperature,850,ground_truth
GraphCast,,2023-01-20T06:00,40,240.0,10.0,279.7781677246094,-0.0233154296875,279.7698974609375,-0.031585693359375,279.8014831542969,temperature_850hPa,temperature,850,ground_truth
