day,step,lead_hours,lead_day,temperature_850hPa_rmse_k,temperature_850hPa_mean_bias_k,metric_variable,metric_level_hpa,reference
1,4,24.0,1.0,0.7163892388343811,-0.09336930513381958,temperature,850,ground_truth
2,8,48.0,2.0,0.9250626564025879,-0.09446119517087936,temperature,850,ground_truth
3,12,72.0,3.0,1.1171364784240723,-0.06865327060222626,temperature,850,ground_truth
4,16,96.0,4.0,1.4397718906402588,-0.1214720755815506,temperature,850,ground_truth
5,20,120.0,5.0,1.8322244882583618,-0.10097207129001617,temperature,850,ground_truth
6,24,144.0,6.0,2.188349962234497,-0.07029792666435242,temperature,850,ground_truth
7,28,168.0,7.0,2.6223366260528564,-0.013591834343969822,temperature,850,ground_truth
8,32,192.0,8.0,3.119049549102783,0.01686631515622139,temperature,850,ground_truth
9,36,216.0,9.0,3.5929996967315674,0.005965002812445164,temperature,850,ground_truth
10,40,240.0,10.0,3.7845752239227295,-0.15590700507164001,temperature,850,ground_truth
