day,step,lead_hours,lead_day,temperature_850hPa_rmse_k,temperature_850hPa_mean_bias_k,metric_variable,metric_level_hpa,reference
1,4,24.0,1.0,0.717327892780304,-0.05511213466525078,temperature,850,ground_truth
2,8,48.0,2.0,0.9346542358398438,-0.10301245748996735,temperature,850,ground_truth
3,12,72.0,3.0,1.1961438655853271,-0.09316644072532654,temperature,850,ground_truth
4,16,96.0,4.0,1.4561865329742432,-0.1231037825345993,temperature,850,ground_truth
5,20,120.0,5.0,1.7944433689117432,-0.15142565965652466,temperature,850,ground_truth
6,24,144.0,6.0,2.047271490097046,-0.20927844941616058,temperature,850,ground_truth
7,28,168.0,7.0,2.553407907485962,-0.22285960614681244,temperature,850,ground_truth
8,32,192.0,8.0,3.118332624435425,-0.28398507833480835,temperature,850,ground_truth
9,36,216.0,9.0,3.443988561630249,-0.29749107360839844,temperature,850,ground_truth
10,40,240.0,10.0,3.569277048110962,-0.2901110053062439,temperature,850,ground_truth
