day,step,lead_hours,lead_day,temperature_850hPa_rmse_k,temperature_850hPa_mean_bias_k,metric_variable,metric_level_hpa,reference
1,4,24.0,1.0,0.694377601146698,-0.07949671149253845,temperature,850,ground_truth
2,8,48.0,2.0,0.911553144454956,-0.09811807423830032,temperature,850,ground_truth
3,12,72.0,3.0,1.1444035768508911,-0.106147900223732,temperature,850,ground_truth
4,16,96.0,4.0,1.4914748668670654,-0.1336480975151062,temperature,850,ground_truth
5,20,120.0,5.0,1.9628909826278687,-0.1627282202243805,temperature,850,ground_truth
6,24,144.0,6.0,2.729768991470337,-0.21039803326129913,temperature,850,ground_truth
7,28,168.0,7.0,3.22160005569458,-0.19434607028961182,temperature,850,ground_truth
8,32,192.0,8.0,3.7632534503936768,-0.302030473947525,temperature,850,ground_truth
9,36,216.0,9.0,3.926433563232422,-0.35216912627220154,temperature,850,ground_truth
10,40,240.0,10.0,3.9248292446136475,-0.4091950058937073,temperature,850,ground_truth
