day,step,lead_hours,lead_day,temperature_850hPa_rmse_k,temperature_850hPa_mean_bias_k,metric_variable,metric_level_hpa,reference
1,4,24.0,1.0,0.7150653600692749,-0.024022653698921204,temperature,850,ground_truth
2,8,48.0,2.0,0.9024046659469604,-0.08352754265069962,temperature,850,ground_truth
3,12,72.0,3.0,1.135897159576416,-0.08104360103607178,temperature,850,ground_truth
4,16,96.0,4.0,1.454555630683899,-0.08837341517210007,temperature,850,ground_truth
5,20,120.0,5.0,1.8352429866790771,-0.13918106257915497,temperature,850,ground_truth
6,24,144.0,6.0,2.312016010284424,-0.13121676445007324,temperature,850,ground_truth
7,28,168.0,7.0,2.700195074081421,-0.13989108800888062,temperature,850,ground_truth
8,32,192.0,8.0,3.1291818618774414,-0.1668628305196762,temperature,850,ground_truth
9,36,216.0,9.0,3.5140156745910645,-0.2711378037929535,temperature,850,ground_truth
10,40,240.0,10.0,3.7036280632019043,-0.35312187671661377,temperature,850,ground_truth
