day,step,lead_hours,lead_day,temperature_850hPa_rmse_k,temperature_850hPa_mean_bias_k,metric_variable,metric_level_hpa,reference
1,4,24.0,1.0,0.7282291650772095,-0.05236603319644928,temperature,850,ground_truth
2,8,48.0,2.0,0.9021121859550476,-0.09006358683109283,temperature,850,ground_truth
3,12,72.0,3.0,1.083181619644165,-0.13497714698314667,temperature,850,ground_truth
4,16,96.0,4.0,1.3501895666122437,-0.13848170638084412,temperature,850,ground_truth
5,20,120.0,5.0,1.5772970914840698,-0.09644399583339691,temperature,850,ground_truth
6,24,144.0,6.0,1.873850703239441,-0.12276120483875275,temperature,850,ground_truth
7,28,168.0,7.0,2.2816238403320312,-0.12320352345705032,temperature,850,ground_truth
8,32,192.0,8.0,2.692502975463867,-0.1251882165670395,temperature,850,ground_truth
9,36,216.0,9.0,3.255186080932617,-0.14547725021839142,temperature,850,ground_truth
10,40,240.0,10.0,3.6554946899414062,-0.2938537299633026,temperature,850,ground_truth
