day,step,lead_hours,lead_day,temperature_850hPa_rmse_k,temperature_850hPa_mean_bias_k,metric_variable,metric_level_hpa,reference
1,4,24.0,1.0,0.7284508347511292,-0.03729422762989998,temperature,850,ground_truth
2,8,48.0,2.0,0.9675240516662598,-0.059485990554094315,temperature,850,ground_truth
3,12,72.0,3.0,1.214707612991333,-0.03803349286317825,temperature,850,ground_truth
4,16,96.0,4.0,1.6963046789169312,-0.10859830677509308,temperature,850,ground_truth
5,20,120.0,5.0,2.1585447788238525,-0.20623405277729034,temperature,850,ground_truth
6,24,144.0,6.0,2.6350653171539307,-0.24081824719905853,temperature,850,ground_truth
7,28,168.0,7.0,2.872304916381836,-0.20144668221473694,temperature,850,ground_truth
8,32,192.0,8.0,3.1634562015533447,-0.23667064309120178,temperature,850,ground_truth
9,36,216.0,9.0,3.697282314300537,-0.3676080107688904,temperature,850,ground_truth
10,40,240.0,10.0,3.907524824142456,-0.3927723467350006,temperature,850,ground_truth
