day,step,lead_hours,lead_day,temperature_850hPa_rmse_k,temperature_850hPa_mean_bias_k,metric_variable,metric_level_hpa,reference
1,4,24.0,1.0,0.6824239492416382,-0.0023549601901322603,temperature,850,ground_truth
2,8,48.0,2.0,0.9426644444465637,-0.028783602640032768,temperature,850,ground_truth
3,12,72.0,3.0,1.1604233980178833,-0.0699949711561203,temperature,850,ground_truth
4,16,96.0,4.0,1.5260357856750488,-0.04858488216996193,temperature,850,ground_truth
5,20,120.0,5.0,1.813007116317749,-0.09643052518367767,temperature,850,ground_truth
6,24,144.0,6.0,2.094550609588623,-0.11855590343475342,temperature,850,ground_truth
7,28,168.0,7.0,2.451190948486328,-0.1397629976272583,temperature,850,ground_truth
8,32,192.0,8.0,2.9570415019989014,-0.17329247295856476,temperature,850,ground_truth
9,36,216.0,9.0,3.4801535606384277,-0.14898134768009186,temperature,850,ground_truth
10,40,240.0,10.0,3.8790218830108643,-0.17526055872440338,temperature,850,ground_truth
