day,step,lead_hours,lead_day,temperature_850hPa_rmse_k,temperature_850hPa_mean_bias_k,metric_variable,metric_level_hpa,reference
1,4,24.0,1.0,0.7331898808479309,-0.034447018057107925,temperature,850,ground_truth
2,8,48.0,2.0,0.9548909664154053,-0.06338675320148468,temperature,850,ground_truth
3,12,72.0,3.0,1.1671969890594482,-0.055040907114744186,temperature,850,ground_truth
4,16,96.0,4.0,1.449105978012085,-0.08733509480953217,temperature,850,ground_truth
5,20,120.0,5.0,1.7340569496154785,-0.1072760745882988,temperature,850,ground_truth
6,24,144.0,6.0,2.1733672618865967,-0.15487700700759888,temperature,850,ground_truth
7,28,168.0,7.0,2.6659257411956787,-0.1549765169620514,temperature,850,ground_truth
8,32,192.0,8.0,3.2024075984954834,-0.14242340624332428,temperature,850,ground_truth
9,36,216.0,9.0,3.587855100631714,-0.15250496566295624,temperature,850,ground_truth
10,40,240.0,10.0,3.9634199142456055,-0.1991761177778244,temperature,850,ground_truth
