day,step,lead_hours,lead_day,temperature_850hPa_rmse_k,temperature_850hPa_mean_bias_k,metric_variable,metric_level_hpa,reference
1,4,24.0,1.0,0.725007951259613,-0.0569528229534626,temperature,850,ground_truth
2,8,48.0,2.0,0.8997313976287842,-0.08735031634569168,temperature,850,ground_truth
3,12,72.0,3.0,1.133923053741455,-0.10708262026309967,temperature,850,ground_truth
4,16,96.0,4.0,1.48051118850708,-0.16130463778972626,temperature,850,ground_truth
5,20,120.0,5.0,1.9091423749923706,-0.1430998146533966,temperature,850,ground_truth
6,24,144.0,6.0,2.1903162002563477,-0.14711900055408478,temperature,850,ground_truth
7,28,168.0,7.0,2.5959644317626953,-0.19489826261997223,temperature,850,ground_truth
8,32,192.0,8.0,3.188140869140625,-0.20621216297149658,temperature,850,ground_truth
9,36,216.0,9.0,3.5792031288146973,-0.2922517955303192,temperature,850,ground_truth
10,40,240.0,10.0,3.813105344772339,-0.3323848843574524,temperature,850,ground_truth
