day,step,lead_hours,lead_day,temperature_850hPa_rmse_k,temperature_850hPa_mean_bias_k,metric_variable,metric_level_hpa,reference
1,4,24.0,1.0,0.7196565866470337,-0.015423345379531384,temperature,850,ground_truth
2,8,48.0,2.0,0.9810003638267517,-0.05758741497993469,temperature,850,ground_truth
3,12,72.0,3.0,1.2280069589614868,-0.05935709550976753,temperature,850,ground_truth
4,16,96.0,4.0,1.5176302194595337,-0.09434662014245987,temperature,850,ground_truth
5,20,120.0,5.0,1.8444799184799194,-0.12821905314922333,temperature,850,ground_truth
6,24,144.0,6.0,2.2462825775146484,-0.18140636384487152,temperature,850,ground_truth
7,28,168.0,7.0,2.578526496887207,-0.2019534558057785,temperature,850,ground_truth
8,32,192.0,8.0,3.156256914138794,-0.1995077282190323,temperature,850,ground_truth
9,36,216.0,9.0,3.572075843811035,-0.2738911211490631,temperature,850,ground_truth
10,40,240.0,10.0,3.810302257537842,-0.39421072602272034,temperature,850,ground_truth
