day,step,lead_hours,lead_day,temperature_850hPa_rmse_k,temperature_850hPa_mean_bias_k,metric_variable,metric_level_hpa,reference
1,4,24.0,1.0,0.7011987566947937,-0.07501405477523804,temperature,850,ground_truth
2,8,48.0,2.0,0.964485764503479,-0.08354637771844864,temperature,850,ground_truth
3,12,72.0,3.0,1.2033768892288208,-0.10611141473054886,temperature,850,ground_truth
4,16,96.0,4.0,1.5067495107650757,-0.10154730826616287,temperature,850,ground_truth
5,20,120.0,5.0,1.857711672782898,-0.13547681272029877,temperature,850,ground_truth
6,24,144.0,6.0,2.111262798309326,-0.13690558075904846,temperature,850,ground_truth
7,28,168.0,7.0,2.4298911094665527,-0.16119793057441711,temperature,850,ground_truth
8,32,192.0,8.0,2.7369914054870605,-0.16163696348667145,temperature,850,ground_truth
9,36,216.0,9.0,3.11195969581604,-0.16047298908233643,temperature,850,ground_truth
10,40,240.0,10.0,3.3200113773345947,-0.22671963274478912,temperature,850,ground_truth
