day,step,lead_hours,lead_day,temperature_850hPa_rmse_k,temperature_850hPa_mean_bias_k,metric_variable,metric_level_hpa,reference
1,4,24.0,1.0,0.7468915581703186,-0.021263903006911278,temperature,850,ground_truth
2,8,48.0,2.0,0.9791958928108215,-0.046095527708530426,temperature,850,ground_truth
3,12,72.0,3.0,1.2186377048492432,-0.05288844183087349,temperature,850,ground_truth
4,16,96.0,4.0,1.5415830612182617,-0.11736132949590683,temperature,850,ground_truth
5,20,120.0,5.0,1.7836836576461792,-0.11970537900924683,temperature,850,ground_truth
6,24,144.0,6.0,2.090427875518799,-0.08776939660310745,temperature,850,ground_truth
7,28,168.0,7.0,2.6288695335388184,-0.15650205314159393,temperature,850,ground_truth
8,32,192.0,8.0,2.988767147064209,-0.13548380136489868,temperature,850,ground_truth
9,36,216.0,9.0,3.178349494934082,0.05167322978377342,temperature,850,ground_truth
10,40,240.0,10.0,3.3821256160736084,0.1571328490972519,temperature,850,ground_truth
