day,step,lead_hours,lead_day,temperature_850hPa_rmse_k,temperature_850hPa_mean_bias_k,metric_variable,metric_level_hpa,reference
1,4,24.0,1.0,0.7490102648735046,-0.07179287075996399,temperature,850,ground_truth
2,8,48.0,2.0,0.9645899534225464,-0.07869766652584076,temperature,850,ground_truth
3,12,72.0,3.0,1.1569753885269165,-0.10093475878238678,temperature,850,ground_truth
4,16,96.0,4.0,1.390947937965393,-0.09418664127588272,temperature,850,ground_truth
5,20,120.0,5.0,1.6220940351486206,-0.15370550751686096,temperature,850,ground_truth
6,24,144.0,6.0,1.8893848657608032,-0.1691342443227768,temperature,850,ground_truth
7,28,168.0,7.0,2.1692428588867188,-0.24488495290279388,temperature,850,ground_truth
8,32,192.0,8.0,2.5239644050598145,-0.3153524100780487,temperature,850,ground_truth
9,36,216.0,9.0,2.9381372928619385,-0.3739129602909088,temperature,850,ground_truth
10,40,240.0,10.0,3.219162940979004,-0.3731522858142853,temperature,850,ground_truth
