day,step,lead_hours,lead_day,temperature_850hPa_rmse_k,temperature_850hPa_mean_bias_k,metric_variable,metric_level_hpa,reference
1,4,24.0,1.0,0.7160866856575012,-0.060691338032484055,temperature,850,ground_truth
2,8,48.0,2.0,0.9290812015533447,-0.04554697871208191,temperature,850,ground_truth
3,12,72.0,3.0,1.169282078742981,-0.05253466218709946,temperature,850,ground_truth
4,16,96.0,4.0,1.3888462781906128,-0.044879183173179626,temperature,850,ground_truth
5,20,120.0,5.0,1.670417308807373,-0.07222890853881836,temperature,850,ground_truth
6,24,144.0,6.0,2.040266752243042,-0.10637813061475754,temperature,850,ground_truth
7,28,168.0,7.0,2.264374017715454,-0.107227623462677,temperature,850,ground_truth
8,32,192.0,8.0,2.5732901096343994,-0.06241001933813095,temperature,850,ground_truth
9,36,216.0,9.0,2.758204698562622,0.011366279795765877,temperature,850,ground_truth
10,40,240.0,10.0,3.1827378273010254,-0.03867778182029724,temperature,850,ground_truth
