day,step,lead_hours,lead_day,temperature_850hPa_rmse_k,temperature_850hPa_mean_bias_k,metric_variable,metric_level_hpa,reference
1,4,24.0,1.0,0.750204861164093,-0.07016537338495255,temperature,850,ground_truth
2,8,48.0,2.0,0.9807659387588501,-0.09051596373319626,temperature,850,ground_truth
3,12,72.0,3.0,1.3596009016036987,-0.09644147008657455,temperature,850,ground_truth
4,16,96.0,4.0,1.730155348777771,-0.0816258117556572,temperature,850,ground_truth
5,20,120.0,5.0,2.093379497528076,-0.1487998515367508,temperature,850,ground_truth
6,24,144.0,6.0,2.456212282180786,-0.15567481517791748,temperature,850,ground_truth
7,28,168.0,7.0,2.907210350036621,-0.2315177470445633,temperature,850,ground_truth
8,32,192.0,8.0,2.912182569503784,-0.22489455342292786,temperature,850,ground_truth
9,36,216.0,9.0,3.01086688041687,-0.2611008584499359,temperature,850,ground_truth
10,40,240.0,10.0,3.3391120433807373,-0.16005711257457733,temperature,850,ground_truth
