day,step,lead_hours,lead_day,temperature_850hPa_rmse_k,temperature_850hPa_mean_bias_k,metric_variable,metric_level_hpa,reference
1,4,24.0,1.0,1.2055703401565552,0.039336320012807846,temperature,850,ground_truth
2,8,48.0,2.0,1.9109283685684204,-0.010104888118803501,temperature,850,ground_truth
3,12,72.0,3.0,2.6000330448150635,-0.028725942596793175,temperature,850,ground_truth
4,16,96.0,4.0,2.9281842708587646,0.007946337573230267,temperature,850,ground_truth
5,20,120.0,5.0,3.0664942264556885,0.05741142854094505,temperature,850,ground_truth
6,24,144.0,6.0,3.3384411334991455,0.24039123952388763,temperature,850,ground_truth
7,28,168.0,7.0,3.5091071128845215,0.31433311104774475,temperature,850,ground_truth
8,32,192.0,8.0,3.7743871212005615,0.4465099573135376,temperature,850,ground_truth
9,36,216.0,9.0,3.984429359436035,0.5324162840843201,temperature,850,ground_truth
10,40,240.0,10.0,4.231501579284668,0.496160626411438,temperature,850,ground_truth
